compound_id,smiles,First generation in which the molecule appears,Total number of generations molecule is present,List of generations molecule is present,fitness,chromosome,Number of times this molecule was evolutionarily created (not carried over through elitism),"Generation, method this molecule was created, and parent ID numbers"
0,CC(=O)O[C@@H](C)C(=O)N1CCN(c2nccc(-c3ccc(C(C)(C)C)cc3)n2)CC1,0,3,"[0, 1, 2]",-0.2527215683525599,"[-1.7072265  -1.4330881  -0.9489625  -1.5537258  -0.03525561 -1.9059765
  0.02394018 -1.3617817   1.253652    0.5709533   1.7899474  -1.7151473
  1.336809    1.0930086  -0.71417224 -1.2647973   0.8963785   2.1436517
 -2.9348507  -0.57381105 -0.21573853  0.50394404 -0.734353    0.30034745
  0.45794395  0.58254194 -1.345087    0.9669975  -0.51412344 -0.731725
  1.7102723  -1.786906    0.4043126   0.2805591  -1.9061388   2.1526377
  0.619356   -0.3861871  -0.5061772  -0.3595103   0.6083355  -0.39020455
  1.4567262   1.251657    0.27910164  1.3846706   0.99474573 -0.6266273
  1.239644   -1.9654342  -2.9748447  -0.88945055 -0.94336987 -0.31505588
 -1.6199671   0.6267531   1.6305113   2.1632862   1.4712354  -0.09990078
  0.65953356  0.3380338  -1.6542017   0.9817349  -0.07468066  0.12018991
  0.1377612  -0.3668767   0.52306974 -0.5804681   0.04054423 -0.06969704
 -0.5825919   0.10393219  0.6406811   0.28018352  0.02584749 -0.00846006
 -0.5684081  -0.44431135  1.5833119   0.12277247 -0.16382106 -0.15187556
  0.6697413   0.46898654 -0.376596    0.0651962  -0.06749728  0.57045555
  0.06006387  0.7230643   0.34299257 -0.03155583 -0.37335253 -0.11791864
  0.31175387  0.3560604   0.13801286  0.39785558 -0.30928406  0.04741174
  0.00877504 -0.01854571 -0.03080563  0.839137    1.0845052   0.06187227
 -0.73262465  0.04993915  0.55519414  0.0144743   0.6759296   0.7051417
 -0.03901274  0.07112569  0.18066522  0.92939585  0.669881    0.7219148
 -1.0212982  -0.19843411 -0.14390191 -0.20005855  0.10973522  0.32504854
  1.1540787  -0.01633985]",0,{}
1,CC[C@H](C(=O)N1CCC([NH2+][C@H](C)c2cccnc2)CC1)c1ccccc1,0,1,[0],-2.560007744405332,"[-8.05444598e-01 -6.37099266e-01 -2.76162565e-01  1.54929304e+00
 -3.77890140e-01 -1.53195345e+00  2.52297312e-01 -2.58068740e-03
  6.92269921e-01  1.12812185e+00  1.84742177e+00 -2.03242946e+00
 -1.32893562e+00  4.93155390e-01 -6.94226503e-01  6.38880432e-01
  1.03703237e+00 -8.39726105e-02  4.35635686e-01  3.60056162e-01
 -6.15152836e-01 -2.87968707e+00  1.08627546e+00 -5.88607967e-01
  3.27789575e-01  1.75681615e+00 -1.75187397e+00  1.66438207e-01
  1.51338696e+00 -9.43605900e-02 -8.23532879e-01  1.21857300e-01
 -1.06703222e+00  3.78682077e-01 -8.90337229e-01  3.31120789e-01
 -1.42795101e-01 -2.07081723e+00 -1.30723286e+00  1.67356515e+00
  1.41160464e+00  1.36201501e+00  1.36419505e-01  5.17893732e-01
 -1.84060156e+00 -1.90739989e-01 -4.73017693e-02  1.79093480e-01
 -1.13091946e+00  1.63514841e+00 -8.75619054e-03 -1.91107094e-02
  1.13622403e+00  3.25959563e-01  2.40929127e-02 -3.10248077e-01
  3.98130983e-01  1.55168855e+00 -2.14200094e-01  9.83194232e-01
  1.08606791e+00  2.89947838e-01  4.29094136e-02  1.37214169e-01
 -2.44605243e-02 -1.90930814e-03 -2.46801674e-02  6.80633545e-01
 -2.65851051e-01  5.63005149e-01  2.27573603e-01  1.21861249e-02
  9.65201855e-01 -5.05979285e-02 -2.54102916e-01 -1.99089032e-02
  3.20615977e-01 -2.04428986e-01 -3.67581993e-01  5.41822076e-01
  1.40509403e+00 -2.60889940e-02  2.26078629e-01  6.06273636e-02
  1.59286276e-01 -1.96471661e-02 -7.23339021e-01  2.78852992e-02
 -5.01053184e-02  1.09323867e-01 -1.37738883e-01 -7.40562305e-02
  2.03249454e-01 -1.86542004e-01 -3.56356323e-01 -1.33185476e-01
 -2.88159288e-02  6.11354224e-02  9.02887285e-02  5.49868718e-02
 -1.82383955e-01 -5.78214452e-02  5.18245921e-02 -3.38698849e-02
 -4.96187359e-02 -9.49511528e-01  1.03772074e-01  6.84753239e-01
 -1.04629315e-01 -1.98978528e-01 -1.10100782e+00 -8.78017545e-02
  7.08435893e-01 -1.44930705e-02 -9.34250131e-02 -4.47781384e-02
 -4.09296840e-01 -7.80354798e-01  5.71682453e-01 -7.23949969e-01
  4.09625977e-01 -1.80039927e-01 -8.72955471e-02  1.46134466e-01
 -3.78227755e-02  1.90248191e-02  9.50411439e-01  2.31453240e-01]",0,{}
2,C[C@@H]1CCCC[C@@H]1NC(=O)N[C@@H](CO)c1ccc(Cl)cc1,0,1,[0],-2.4452229619515697,"[ 6.14111423e-01  1.56412721e-01  7.33325183e-01 -1.04327726e+00
  8.23194981e-02 -7.57681310e-01 -4.31011081e-01 -3.57186347e-02
 -2.46645242e-01  7.67804563e-01 -6.83599114e-02  1.04266787e+00
  7.21034884e-01  3.21606874e-01 -5.57357252e-01 -7.57233202e-02
 -8.57602954e-01 -9.64493454e-02  1.05638885e+00 -7.94886470e-01
 -3.66314888e-01  3.54608476e-01  3.44105005e-01  9.24672484e-01
 -1.50534272e-01  4.37247336e-01 -4.19717073e-01 -7.33031631e-01
 -7.62235403e-01 -1.60470462e+00 -1.70546174e-02  1.48313597e-01
  9.40756500e-02  2.98332900e-01  9.72200036e-02 -9.61986184e-02
 -1.51363182e+00 -2.30335760e+00  1.19674695e+00 -1.15697217e+00
 -9.06644344e-01  2.01061058e+00 -1.34020996e+00  6.99342787e-01
  2.48792186e-01 -7.16039181e-01 -1.41085184e+00  4.60229218e-01
  1.23893321e-02  1.09004045e+00 -8.38355184e-01 -6.59157038e-01
  4.49797392e-01  7.10630417e-02  9.95959640e-01 -6.32826567e-01
 -6.45691931e-01 -2.90256441e-02 -4.50468510e-01 -1.82451487e-01
  5.58043957e-01 -8.30149949e-01 -1.82982075e+00  3.36967349e-01
 -1.81888446e-01  1.22625396e-01  7.63749406e-02 -6.57207221e-02
 -3.14967245e-01  1.50797665e+00 -1.34130999e-01  7.26852641e-02
  2.32412368e-02  1.42691225e-01 -2.44074941e-01 -8.30614269e-02
 -1.04598999e+00 -4.50670838e-01 -1.24926560e-01 -4.11200106e-01
  1.18893754e+00  1.54921114e-01 -3.27850878e-01 -6.42754808e-02
  5.92665911e-01  6.16338909e-01 -9.71562922e-01  2.53914416e-01
 -1.13011040e-01 -1.00310564e+00 -1.56683731e+00  1.73274949e-02
  1.51327401e-02  3.87699082e-02 -5.43660402e-01  2.20437974e-01
  6.38026595e-01 -2.12201446e-01  2.03907341e-02  1.26955230e-02
 -1.37964219e-01 -5.23520075e-02  3.97362486e-02  1.89727426e-01
 -9.15243328e-02  1.01520550e+00  1.75994635e-01 -1.40098855e-01
 -3.35726827e-01  3.65704298e-04  2.48630002e-01  3.37183028e-02
 -4.45347160e-01  7.37635493e-02  5.45558147e-02 -1.01678181e+00
  4.71682489e-01 -2.34888047e-02 -1.12113762e+00 -1.31833404e-01
 -4.46461439e-02  1.84631050e-01 -1.48079202e-01 -2.55524218e-01
  8.88237804e-02  7.94195354e-01 -1.70307621e-01 -1.52788684e-01]",0,{}
3,C/C(=C\C(=O)c1cccnc1)Nc1ccc(C)cc1C,0,1,[0],-2.3541444896174624,"[ 1.08756363e-01 -3.84291530e-01 -1.50400937e+00  7.18495324e-02
  1.92581862e-03 -1.48163927e+00  7.73129165e-02 -2.18977571e+00
 -8.05547357e-01 -1.78199184e+00 -8.51903975e-01 -1.25113595e+00
 -4.73607033e-01  1.14268339e+00  1.31341517e-02 -3.12352657e-01
 -1.95803672e-01 -5.00982046e-01 -1.92097259e+00 -4.75959808e-01
 -1.31740379e+00  1.11330211e-01  8.34982283e-03  4.80185866e-01
 -9.50024575e-02 -8.11201334e-01  8.58350873e-01  3.20379138e-02
 -5.95280588e-01  3.54058683e-01 -8.35647285e-01 -7.21633077e-01
  1.06020093e+00 -1.32932812e-01  1.24757242e+00  3.80836457e-01
 -1.64800897e-01  9.59317565e-01 -1.32819331e+00 -4.40433323e-01
  6.91710949e-01  2.01555535e-01  7.37133384e-01  6.08173370e-01
 -1.75887775e+00  7.67852128e-01 -1.42889842e-01  1.52854532e-01
 -4.00010526e-01 -1.58871472e+00 -1.07503617e+00  1.72129464e+00
 -1.53895891e+00 -1.08838677e-02  2.43902236e-01 -2.86579490e-01
 -1.57905281e+00 -1.66362250e+00  4.39772248e-01  1.52556539e-01
  1.18193507e+00  4.49436605e-01 -9.39501584e-01 -1.03322434e+00
  3.31461310e-01  1.91200137e-01 -6.29896820e-02  4.72490311e-01
 -8.73044133e-01  6.37268275e-02  2.72488475e-01  1.22071534e-01
  1.55666441e-01 -1.24012522e-01 -5.76208830e-01 -7.65034556e-03
 -2.09535301e-01 -5.02434611e-01 -5.41345239e-01  3.94474924e-01
  1.35729623e+00  9.74473953e-02  1.54675663e-01 -4.61846590e-04
 -6.41911551e-02 -3.20202082e-01  1.14803083e-01  7.47972587e-03
  2.17420906e-02 -5.91553986e-01 -4.49657202e-01  3.58539701e-01
  3.54637742e-01 -1.16654113e-01 -7.71675527e-01 -1.10918134e-01
  1.36812821e-01 -3.00278485e-01  9.84568238e-01 -1.29902065e-02
  8.13606143e-01  3.91882062e-02  7.56841153e-02 -9.77552235e-02
  4.41463217e-02 -5.80059648e-01 -1.19744465e-01  2.28680277e+00
 -4.70100611e-01 -2.56335706e-01 -5.93263805e-01 -9.84326452e-02
 -1.23992705e+00 -2.16026843e-01 -5.71943521e-02  1.22714043e-01
 -8.20375681e-02 -2.10475087e+00  7.07992196e-01 -1.18415618e+00
  7.65268445e-01 -5.43534458e-02 -2.14528397e-01  1.20165944e-02
 -1.63088709e-01 -8.00468028e-02  1.55356634e+00  5.05665720e-01]",0,{}
4,CCn1nnc2cc(C(=O)N3CCCC[C@H]3c3nc4ccccc4s3)ccc21,0,2,"[0, 1]",-0.6996463865090303,"[ 8.21949184e-01 -2.68507743e+00 -1.73554111e+00  9.57979262e-01
 -3.79854143e-02 -5.15902042e-02 -6.31676763e-02 -7.30643511e-01
 -2.66237706e-01 -3.23847085e-01  9.57818449e-01 -5.17151535e-01
  8.23280215e-02  1.51746511e+00 -5.53261340e-02  6.49240315e-01
  4.42298651e-01 -1.06389844e+00 -6.00871444e-01  1.73319054e+00
 -6.15960240e-01 -3.31493020e-01  4.03856069e-01 -1.54345119e+00
  1.70669958e-01 -2.90135711e-01 -1.96062255e+00  8.31437051e-01
  2.04694599e-01 -8.43723655e-01 -2.23957956e-01 -1.32458135e-01
  8.84408176e-01  1.27427503e-01  2.45572138e+00 -6.71478927e-01
 -7.36186028e-01 -8.46709251e-01 -9.40392196e-01  1.55428886e-01
  5.93372107e-01 -1.45758665e+00 -4.17668760e-01  1.08354390e-01
  2.65966654e-02 -3.09752655e+00  9.80786264e-01  2.72842437e-01
 -1.39605653e+00 -4.30142283e-01 -1.63362741e+00  2.28210628e-01
  4.62597728e-01  3.43480170e-01 -8.84119153e-01  3.33550572e-03
 -1.32760644e-01  9.83325839e-01 -4.93624449e-01  1.94628522e-01
 -9.46675718e-01  7.82108724e-01 -1.95065558e-01  1.22853208e+00
 -2.20532790e-01  5.19309863e-02  3.35996859e-02 -9.76933837e-02
  1.32309318e-01 -1.54303178e-01  2.88122147e-02 -2.35610176e-03
  2.67209888e-01 -5.00978306e-02  1.77734405e-01 -1.71163529e-02
 -2.63818592e-01 -9.94715244e-02 -3.34170341e-01  2.25413665e-01
  1.20237541e+00  1.23210423e-01  5.16462289e-02 -5.54175302e-02
  1.50937510e+00 -4.99853566e-02 -1.17344275e-01 -2.76152827e-02
  1.22897558e-01 -4.26630914e-01 -1.85561395e+00 -1.51479572e-01
 -2.51292512e-02  3.80599797e-02 -5.42761758e-02  1.58915460e-01
  1.76166505e-01 -9.35796201e-02 -6.46172315e-02 -1.17287442e-01
  8.42816651e-01 -7.22787157e-02 -1.13115311e-02 -4.33056578e-02
 -6.75916299e-02 -1.32073075e-01  3.25592279e-01 -1.51505733e+00
 -3.65154505e-01  9.76846814e-02 -1.12426281e-02 -1.41734816e-02
 -6.47256792e-01 -8.36545825e-02 -2.67094374e-02 -5.08623540e-01
 -4.06533629e-02 -7.95681894e-01 -8.12373817e-01  4.04157698e-01
  4.71484244e-01  2.65527666e-01 -9.41281021e-02  3.28923434e-01
  4.24972028e-02 -3.00093055e-01  6.72379494e-01 -2.80997664e-01]",0,{}
5,CO[C@H](C)C(=O)Nc1cccc(NC(=O)N(C)[C@@H](C)c2cccnc2)c1,0,2,"[0, 1]",-1.2334908240398363,"[-0.7924984  -0.06630431  1.948923   -1.3130769  -0.31722856 -3.1981266
  0.43002272  0.59666353  0.98464286 -0.11585864  0.4738517   0.0743472
  1.3324795  -0.47735918 -1.5640908   0.3219871   0.6098836   1.1220776
 -0.1840315  -0.38318104 -1.4363271  -1.1062857   0.4617203   1.223625
  0.46116155  0.39038813  0.29039323  1.3160193   2.172253    0.29599205
  0.7539836  -0.17917335  0.19479522  0.4535765  -0.9953736   0.7296659
 -0.3311523  -1.2576435  -0.27326983  0.18960035  0.02211073  0.7497988
  0.2758527   0.32881162 -1.0034819  -0.87086225  0.58550394  0.91180617
  0.51463467  1.1329461   0.42000118 -0.6727012  -1.487251   -0.42271608
  0.5795587  -0.39081258  0.78831214 -0.4504261   1.2632242   0.05451769
  1.4631833   0.25439188  0.62327117  2.1325746   1.315109   -0.19894534
 -0.0073889   0.4525896   0.29064974  1.110909    0.34273478 -0.17059076
  0.85212255  0.27832374 -0.38889518  0.06373345 -0.1458703  -0.06569421
 -0.45965368  0.09139112  0.90140975 -0.14462903  0.46116963  0.18424705
  1.1636393   0.7837972   0.5501858  -0.05705726 -0.05235637  0.37321573
  0.34511814 -0.06138061  0.02875319 -0.30101177 -1.034974   -0.37518817
  0.17818461 -0.2647885   0.29143107  0.2188595   0.10636084 -0.01113343
  0.04279158 -0.00961009  0.03894496 -2.0653014   0.6658651  -0.3030696
 -0.30239916 -0.00551761 -1.0869265  -0.12401649  0.6444608  -0.5693847
 -0.07506837 -0.5160387  -0.22000313 -0.43041965 -0.49123302  0.07308744
  0.18518215  0.05853951  0.0227654  -0.25950593 -0.03057484  1.0438571
  0.34821594  0.3476575 ]",0,{}
6,CCOc1ccc(N2C(=N)C3=C(C)N=NC3=N[C@H]2SCC(=O)N2CCC(C)CC2)cc1,0,1,[0],-2.495628237046264,"[ 4.76499677e-01 -1.22932482e+00  6.53182983e-01  4.24149454e-01
 -3.30332249e-01 -8.79059076e-01  8.18757117e-01 -2.57034349e+00
 -3.80478352e-01  4.11376387e-01 -2.05419159e+00 -8.32831621e-01
 -3.08075428e+00  4.68268931e-01  9.61341113e-02  1.39300835e+00
 -4.64973330e-01 -1.51846617e-01  1.19367445e+00  1.58489597e+00
  6.07296228e-01  2.41286576e-01 -5.03787935e-01 -1.06668615e+00
  1.27976477e-01  5.85620344e-01 -1.94914210e+00 -1.54629731e+00
  1.38612330e-01 -1.70420396e+00  8.09391618e-01  1.20661950e+00
  1.73034358e+00  2.02206373e-02  8.88636708e-01 -8.37096930e-01
  1.35351968e+00 -4.06154126e-01 -5.83826184e-01 -2.02966738e+00
 -2.30946398e+00 -1.55599201e+00  7.05042303e-01  1.06631446e+00
 -4.51578349e-01 -1.84492970e+00  1.27909482e+00  1.40216053e+00
 -4.36039269e-02 -1.54829752e+00 -1.59531307e+00 -2.71103621e+00
 -8.53076220e-01 -2.01139063e-01  2.29131579e-02  1.81147367e-01
 -9.66030419e-01 -9.63996172e-01 -6.35584742e-02 -6.00119352e-01
  2.17425853e-01  1.69671631e+00  1.38120949e-01  1.46545053e+00
 -3.18022966e-01  1.68980658e-01 -2.31175087e-02  1.81331396e+00
 -3.46862555e-01 -1.20000923e+00  7.41932616e-02 -1.46706179e-01
  3.54756415e-02 -3.06657523e-01  7.41944611e-02  1.49349630e-01
  1.60038173e-01  1.56058192e-01 -3.20261896e-01 -4.69005704e-02
  1.23265886e+00  3.63699675e-01 -4.47107181e-02 -8.37159231e-02
  1.57587722e-01 -7.18221068e-02 -8.09506774e-01  1.20639741e-01
 -2.62539648e-02  1.26037896e-02  6.92237496e-01  2.97534198e-01
  3.40985805e-01  1.85565278e-03 -5.64346910e-01 -4.11933482e-01
 -1.16190806e-01  3.29502076e-01  5.74602425e-01  1.50793433e-01
 -3.23725998e-01  6.71658963e-02 -7.43404478e-02  8.56329203e-02
  1.84601098e-01  6.63392127e-01  6.51135206e-01  8.47708941e-01
 -4.52759176e-01 -2.00467668e-02 -2.41890401e-01  3.60986181e-02
  4.18368429e-01  1.22566104e+00 -8.55226964e-02  3.76840979e-01
 -2.57107645e-01  2.27694750e-01  1.90673262e-01  3.34103584e-01
 -9.50293064e-01 -1.76210389e-01  7.84421861e-02  1.18986800e-01
 -2.95203403e-02  2.26512760e-01  1.33037090e+00 -8.34352523e-02]",0,{}
7,C[C@]1(C[NH2+]Cc2ccc(I)cc2)CCCO1,0,1,[0],-2.549743961622685,"[ 2.47455150e-01  5.99084318e-01 -2.17678100e-02  2.40184456e-01
 -6.34050220e-02  1.32984567e+00  2.42862120e-01  3.27041775e-01
  1.11086637e-01 -7.52892017e-01 -1.67820120e+00  1.75601095e-02
 -1.14107460e-01  8.05160522e-01 -2.36984372e-01 -4.51098025e-01
 -6.06250226e-01  1.07603693e+00  8.96513164e-01  1.72871625e+00
 -1.70453444e-01  7.95566589e-02 -2.40940765e-01 -1.04489636e+00
  3.34730595e-01 -2.54845083e-01  1.00798523e+00 -8.78694654e-01
 -3.03585440e-01  1.98753208e-01 -1.28992498e-02  1.37885332e+00
  1.26644158e+00 -6.76066637e-01  1.17096353e+00 -4.81179915e-02
  5.33828378e-01 -1.72812140e+00 -1.81085467e+00 -6.22799337e-01
  3.95715833e-01  1.24158502e+00  2.43874621e+00 -7.95209110e-01
 -2.14066434e+00  1.08932006e+00 -5.17539203e-01  2.71575451e-01
 -3.62950444e-01 -2.67250717e-01  8.66691530e-01  8.30602229e-01
  1.05889618e+00 -2.55622625e+00 -5.01190901e-01  9.77735162e-01
  1.27969980e+00  2.93484032e-02  3.13007653e-01 -6.92229092e-01
 -1.54715133e+00 -9.17146921e-01  6.07812524e-01 -1.62821937e+00
  4.50822785e-02 -1.84029847e-01  7.48230610e-03 -5.69790304e-01
 -3.43280971e-01 -4.50057745e-01  1.56966925e-01 -2.32847095e-01
  2.09727243e-01  1.76331431e-01  1.42481863e-01 -6.01788759e-02
 -7.47064233e-01  9.64352395e-03  1.27932474e-01  2.59764791e-01
  1.53598976e+00 -1.92956284e-01  1.01614989e-01  9.19378474e-02
 -1.90302983e-01  5.60081959e-01  4.97453511e-02 -1.15050957e-01
 -1.34200929e-02  2.80851722e-02 -8.46492410e-01 -1.52672887e-01
 -1.86722219e-01 -1.02106608e-01 -1.36416864e+00  3.47003378e-02
  1.61283731e-01 -6.65110499e-02 -2.44411826e-01  1.72420561e-01
 -1.73273534e-01  1.00516982e-01 -3.60787362e-02  1.08145416e-01
 -2.68945079e-02  1.33330178e+00  5.76789379e-02 -1.77076042e-01
  3.89942676e-02 -2.94461474e-03  5.11013567e-02 -1.23404481e-01
 -6.63738489e-01 -5.32194197e-01  3.56986597e-02 -9.16722789e-02
  9.35438201e-02  5.24988472e-01 -8.99400473e-01 -2.98075676e-02
 -7.25584865e-01  6.00210950e-02 -7.81049021e-04 -5.49810790e-02
 -8.29227865e-02  6.20919347e-01 -7.87063301e-01  1.86103404e-01]",0,{}
8,Cc1cccc(OCC(=O)N/N=C/c2cc(Br)c(O)c(Br)c2O)c1,0,1,[0],-2.6502239831387806,"[ 1.0943494   1.3127142   0.5379728   0.18992347 -0.5538832   0.3852105
  1.8659605  -1.780056    1.1500835   0.35116062 -1.9862804  -1.0734028
 -1.1984286  -1.4167906  -1.5505416   0.88689756  1.9103775   1.9244443
 -0.19679654 -1.5843551   3.105557    2.3921835  -1.6488873  -1.7968034
  0.48855144  2.2755876  -1.0233502   1.1825233  -0.7661053  -1.7394555
  0.5810688   1.0229982   1.4191929   0.1395871   0.06703943  0.08606037
  1.4648664   0.739653    1.6034284  -1.4383434  -1.0839883  -0.1626057
 -0.3941677  -0.05757113 -1.2271439   2.0573041   0.52039963  3.8297358
  0.6258598  -1.105199    0.262786   -0.20826459  0.6386822  -1.480802
  0.3401153   0.7040726   1.584966   -0.8564668   0.29495353  0.58611345
  0.00932765 -2.8262694   1.5096457   1.6222596  -0.78725857  0.05893297
  0.07417624 -0.22540583  0.17023154 -0.13708493  0.03413625 -0.09578816
 -0.03435165 -0.30600893  0.21423921  0.01887177  0.44398737 -0.06331991
 -0.0520058   0.39245117  1.0942919  -0.02860733  0.04831596  0.04654677
  0.3061846  -0.05798103  0.86371183  0.04973517 -0.20776647 -0.23894715
  0.40380472  0.05887435  0.5694838  -0.12862214  0.21064661 -0.03481657
  0.29139015 -0.1230863   0.2862369   0.09767763  0.6001657  -0.10758708
 -0.02510902  0.13307786  0.02416079 -2.4267411   1.0125384  -0.02587236
 -0.04866271  0.05887944 -0.60323566 -0.00945357  0.3093723  -0.07347457
 -0.22504927  1.4310985  -0.7158925  -0.37951526 -0.80904555  0.97897327
  0.40697858 -0.09831192 -0.01072284  0.07665742 -0.0076566  -0.47669324
  0.74988675 -0.214373  ]",0,{}
9,CCCCN(CC)C(=O)CNC(=O)c1ccc2c(c1)OCO2,0,1,[0],-2.2599982661418263,"[-3.11463803e-01  1.17046261e+00 -1.56663179e+00 -1.21819854e+00
 -1.76536515e-01 -2.71388948e-01  5.29550076e-01  9.58040714e-01
 -2.41206676e-01 -3.84676129e-01 -2.31079414e-01  2.18399358e+00
 -1.00232780e-01  1.51979375e+00  9.35286462e-01  5.73792517e-01
 -2.45825052e-02  2.89468169e-01  1.36642528e+00  1.32857651e-01
  2.24236012e+00 -1.60554910e+00  1.85854942e-01  3.59816194e-01
  2.41305292e-01 -1.31620812e+00  2.74662971e-01  7.40221560e-01
  1.24927968e-01  1.10484719e-01 -7.32244968e-01  1.53948963e+00
 -4.18887943e-01 -9.62418765e-02  1.74104273e-01 -1.90930343e+00
 -1.27849507e+00 -1.25318921e+00  1.05859384e-01 -1.05820715e+00
  1.80424303e-02 -1.35687605e-01  1.48266876e+00  9.30631399e-01
  5.17961621e-01 -1.72970116e+00 -4.79218215e-02 -9.31437492e-01
  8.13129246e-01  8.47403944e-01  5.22601843e-01 -2.38095641e+00
  2.39458382e-02 -2.28377819e-01  7.20076978e-01  2.70212591e-01
  8.26105118e-01 -1.88924813e+00 -3.20482314e-01 -4.04286951e-01
 -5.62233210e-01  1.11347890e+00 -3.14763248e-01  1.53354511e-01
 -1.12806275e-01 -6.03748187e-02 -9.88086313e-03  8.70142207e-02
  7.63604864e-02 -7.43945092e-02 -4.77659479e-02  2.48127598e-02
  6.35837838e-02  5.32100797e-02 -9.63382870e-02 -6.51977062e-02
 -1.06625855e-01  1.43847503e-02  4.95662764e-02 -7.74815157e-02
  1.40430474e+00  2.23874636e-02 -5.35561368e-02 -1.92029476e-02
  1.31153136e-01  3.66147235e-02 -8.80748034e-03 -8.73638317e-02
 -1.98229328e-02 -2.33655781e-01 -1.09511085e-01 -8.20468366e-02
 -9.36865360e-02  2.12322064e-02  5.07450402e-02  7.45386556e-02
  1.06544338e-01  3.47607955e-02  8.72741640e-02 -1.33014247e-02
  1.82183787e-01  3.44124623e-02  1.81269795e-02  5.29387519e-02
  2.87579708e-02  1.85858756e-02  2.79460922e-02 -9.41815227e-02
  7.91070685e-02  6.20773882e-02 -9.14807394e-02 -1.47553906e-03
 -3.01691979e-01 -6.26134872e-03 -1.23237818e-03 -1.81814551e-01
  5.29938340e-02 -9.64738578e-02 -1.87962100e-01 -1.64454058e-01
 -1.02489352e-01  1.59528106e-01  6.39478937e-02  6.04710728e-03
 -8.35036859e-03  6.78698495e-02 -2.40182355e-02 -8.53740647e-02]",0,{}
