compound_id,smiles,First generation in which the molecule appears,Total number of generations molecule is present,List of generations molecule is present,fitness,chromosome,Number of times this molecule was evolutionarily created (not carried over through elitism),"Generation, method this molecule was created, and parent ID numbers"
0,CCCCS(=O)(=O)NCC(=O)N1CCO[C@@](C)(c2ccccc2)C1,0,1,[0],-1.2704046070517878,"[-2.23790598e+00 -7.91675568e-01 -5.13112009e-01  1.67702124e-01
 -3.13783050e-01  7.33989239e-01  5.37625134e-01 -9.16615784e-01
 -6.35902524e-01  7.46499419e-01 -2.77554214e-01  1.37386024e+00
  1.29186952e+00  1.37696850e+00 -1.37213087e+00  2.06404829e+00
  3.86139333e-01 -3.02985132e-01 -4.30822968e-02 -3.13923478e-01
  3.59145284e-01 -1.96995544e+00 -9.98063803e-01 -1.35435104e-01
  8.34881067e-01 -6.51324868e-01  1.12220669e+00 -5.24210215e-01
  1.96569157e+00 -1.50509381e+00 -3.42795134e-01  2.54732704e+00
 -1.52972293e+00  4.55270708e-02  1.14227295e+00  9.75453317e-01
  2.16014504e+00 -1.03506851e+00 -5.86644530e-01 -9.52640355e-01
  1.56718063e+00 -2.23199129e-01 -1.13263786e-01  3.60017776e-01
  1.40545082e+00 -5.58162570e-01 -1.07052922e-03 -6.05647117e-02
  5.32692850e-01  2.01489997e+00  1.38893533e+00 -2.47298145e+00
  1.00222313e+00 -9.39500928e-01  1.04402041e+00  1.09607041e+00
  3.25018406e-01  5.57772338e-01 -3.16575259e-01  2.32667848e-02
 -6.51190996e-01  7.46128261e-01  3.80556226e-01 -9.02671754e-01
  3.85368943e-01  9.59093273e-02 -3.64249051e-02 -4.80715215e-01
 -1.12613887e-02  3.91853839e-01  2.70536505e-02 -1.39085725e-02
 -5.97972453e-01 -3.37893218e-02  9.63854492e-02  7.75149986e-02
  1.52328819e-01  2.59935260e-02  1.86972395e-02  2.03822106e-01
  1.32134259e+00 -2.72402838e-02  8.92081633e-02 -8.79445598e-02
 -1.76158383e-01 -4.76026684e-02  1.17944288e+00  3.46595570e-02
  1.67137861e-01  1.10795796e-02  7.12128520e-01 -9.52581093e-02
  1.87692642e-02 -4.92141210e-02 -1.20113194e-01 -1.79140359e-01
 -8.18237662e-04 -3.86389077e-01 -1.54499799e-01 -1.83858320e-01
  2.70041168e-01  2.63084583e-02  4.03529219e-02 -3.97031531e-02
  9.79300775e-03  5.59457839e-02  1.13928847e-01  3.79727259e-02
 -1.23733342e-01 -3.56714129e-02  4.51548994e-02  1.50586143e-02
  4.32258368e-01 -7.41063878e-02  4.04325873e-03 -1.52948603e-01
  1.90245911e-01  4.05598342e-01 -9.40814614e-02  2.82678843e-01
 -1.07936591e-01 -1.66371167e-01  5.91899455e-03 -1.66857280e-02
  2.12565288e-02 -2.81738639e-02 -4.05475229e-01 -5.87050244e-03]",0,{}
1,N#C/C(=C/c1cc(Cl)ccc1Cl)c1nc2ccccc2c(=O)[nH]1,0,1,[0],-2.288183286375425,"[ 6.22715712e-01 -3.96553874e-02 -7.87791982e-02  2.23642635e+00
 -1.28346115e-01 -1.39555812e+00 -1.55226976e-01 -6.33201838e-01
  4.20339048e-01  9.25556660e-01 -1.85915947e+00 -1.60351753e+00
  1.15061045e+00 -6.99557066e-01 -8.40941727e-01 -1.09329641e+00
 -8.47251415e-01 -2.36991256e-01  6.68061435e-01 -1.83453619e-01
  1.76719689e+00  1.04721904e+00  4.31869894e-01  1.23801196e+00
  1.51716173e-03  6.06755137e-01  1.01345778e-01 -1.21552086e+00
 -4.75712150e-01  1.19291937e+00 -7.86761045e-01  1.78293669e+00
  7.47425437e-01  9.58417505e-02 -6.38768375e-02  7.06477761e-02
 -1.68739641e+00 -6.62614107e-01 -1.51350105e+00  1.83260232e-01
 -5.33067882e-01 -7.32774734e-01 -7.60480464e-01 -7.08432853e-01
 -8.47378731e-01  1.24086523e+00  5.43836057e-01 -8.16824675e-01
 -4.53495085e-01 -1.62121320e+00  4.84512717e-01  3.57988387e-01
 -1.68120193e+00 -6.14614069e-01 -4.36290979e-01  2.02492177e-01
  1.82687938e-01 -6.72945082e-01 -2.70259213e+00  7.69110680e-01
 -8.13557148e-01 -1.03616321e+00  7.71610796e-01 -1.18290246e+00
 -1.30745232e-01  1.26740903e-01 -9.26683322e-02  1.00874877e+00
  9.13348496e-02  1.46250963e-01 -6.30641654e-02 -9.67604667e-03
 -3.24959069e-01 -2.21092880e-01 -7.31099725e-01  2.35044882e-02
 -5.47787398e-02  2.12492436e-01 -1.85135826e-01 -1.98632866e-01
  1.31869304e+00  5.59077524e-02 -1.42210945e-01 -1.86382294e-01
  3.40979636e-01 -3.09612155e-01 -7.50367999e-01  1.70592852e-02
 -1.07895575e-01  4.58177328e-01  6.26798630e-01  8.51967037e-02
  2.07015127e-02  1.51017383e-02  5.20135283e-01 -1.09433874e-01
 -4.48911190e-01  1.12399071e-01 -1.97806925e-01  6.60406426e-02
  2.36421406e-01 -2.30447114e-01  5.75526804e-02  3.62416357e-02
  4.76450548e-02  6.19595826e-01  2.98819065e-01 -1.22281218e+00
  3.36823501e-02 -1.05949298e-01 -1.75727397e-01  1.59560293e-01
  1.14392447e+00  4.50273782e-01  1.62992522e-01  1.52970091e-01
 -3.94474030e-01 -5.30997574e-01  2.29735941e-01 -1.62560076e-01
  1.47941673e+00  6.46012351e-02 -1.27392679e-01  1.28685921e-01
  2.42538899e-02 -4.03562158e-01 -6.89397871e-01 -1.21538840e-01]",0,{}
2,OCCCc1nc2ccncc2[n-]1,0,1,[0],-2.0365277998078173,"[-6.86667264e-01  1.00905263e+00 -2.00438666e+00  2.23237181e+00
 -4.30963576e-01  1.53211522e+00 -1.18270028e+00  5.43727100e-01
  8.77883196e-01  3.66541237e-01 -5.74747205e-01  1.26649642e+00
 -1.69762290e+00 -1.24277651e+00 -2.08380795e+00 -6.44380152e-01
 -3.55916917e-01 -2.84589648e-01  9.80629206e-01  1.55664206e-01
  1.21891284e+00 -3.13867283e+00  4.26227242e-01 -1.37264812e+00
 -3.28177869e-01 -3.20184171e-01  2.99512684e-01  1.68470943e+00
  7.44511425e-01  8.13209414e-01  1.47351682e+00  2.17204168e-01
 -1.73354518e+00 -8.86138797e-01  5.69993615e-01  8.57689619e-01
 -1.36194646e+00  9.58630025e-01 -1.12495273e-02 -1.10680997e-01
 -7.96208441e-01 -1.07625544e+00 -2.49555492e+00  1.00381994e+00
 -3.23712409e-01 -2.09488943e-01  1.54302382e+00  1.89123201e+00
 -7.70228148e-01  1.16806948e+00  6.44053221e-01 -7.47330785e-02
 -1.76637030e+00  9.16459441e-01  1.96049571e+00 -4.31680351e-01
 -1.59017789e+00 -1.67572498e-03 -5.69799185e-01  3.13534230e-01
 -8.80987585e-01  6.02292657e-01  1.65135109e+00 -2.39193249e+00
  1.99710298e+00 -3.59527692e-02  3.63178775e-02  9.81694877e-01
  1.31105065e-01 -2.60560513e-01 -3.00097406e-01  1.75537750e-01
  4.55251038e-01  9.91098117e-03 -1.31972826e+00  5.03786147e-01
 -7.27835536e-01 -5.81331998e-02 -6.41702056e-01 -1.34141123e+00
  4.27396744e-01  4.15902659e-02 -1.73260331e-01 -3.63036245e-02
 -7.42687047e-01  1.30072665e+00 -2.14445144e-01 -2.74889797e-01
 -5.21593809e-01 -1.85562402e-01  6.49382830e-01  4.22281206e-01
  2.59361744e-01  6.82505444e-02 -1.11651254e+00  8.88719141e-01
  1.68057486e-01  1.11375809e+00  1.11682808e+00  1.86504513e-01
  2.00216293e+00  7.80795515e-03 -2.72260010e-02  1.74773961e-01
  1.97143987e-01  6.12762928e-01 -1.10212803e+00 -1.10409021e+00
 -3.48285913e-01  1.11086681e-01 -2.71435678e-02 -1.65311292e-01
  4.69840318e-01  1.31110363e-02  6.84606507e-02  1.13664603e+00
 -1.09714404e-01  5.95429063e-01  2.89739043e-01 -2.18039736e-01
 -5.93663156e-01  5.15705526e-01 -1.36882067e-02 -8.13471854e-01
 -3.44652273e-02  3.21464747e-01 -5.16134918e-01 -2.87050605e-02]",0,{}
3,CCS[C@@H]1CCCCN(C(=O)c2ccc3c(c2)ncn3C)C1,0,1,[0],-1.9020992872656155,"[ 2.12424070e-01 -7.66878009e-01 -3.79362643e-01  2.26991820e+00
  1.70172542e-01  8.45341802e-01 -4.79371279e-01 -4.14484382e-01
  7.97110647e-02 -1.22735894e+00  5.38044930e-01  1.93216860e+00
  7.63541937e-01  2.78993398e-01  4.21561480e-01  1.64182782e+00
  8.71355087e-02  1.63028550e+00  5.47572374e-02 -1.89931285e+00
 -1.63378692e+00  2.77788043e-02 -2.32854664e-01 -1.62242508e+00
 -7.05548286e-01  1.29825854e+00  4.01972830e-02  4.96494919e-02
  2.70482898e-01 -1.06504560e-01  1.13347590e+00 -6.59255326e-01
 -4.78149116e-01  4.59144473e-01  4.34360683e-01  2.52403402e+00
  9.90504563e-01 -1.19211054e+00  2.62008488e-01 -1.01586080e+00
  8.02557886e-01  2.03482151e-01  5.07305503e-01 -7.70427704e-01
 -5.75371802e-01 -1.34555972e+00 -4.14389431e-01 -9.42388773e-01
  1.66154277e+00 -1.42315674e+00  5.57652831e-01 -2.09982061e+00
  2.11739048e-01 -9.80183721e-01  5.27364254e-01 -7.46118426e-01
 -5.05272985e-01 -8.59916925e-01  1.68987364e-01 -3.74477655e-01
 -1.82809711e+00  1.09620380e+00 -1.27683997e+00  7.52203107e-01
 -4.06785429e-01  7.97900558e-03  9.67090297e-03  3.44397053e-02
  1.29083380e-01  1.16764784e+00 -1.43124968e-01 -2.28772759e-02
 -1.88500568e-01  5.45813516e-03 -1.75985754e-01 -3.87358248e-01
 -5.42501569e-01  9.23740268e-02 -3.45814824e-02 -2.01771438e-01
  1.57225120e+00 -1.23859994e-01  2.92639099e-02  1.15273103e-01
 -7.13979006e-02 -2.36910716e-01  1.53858161e+00  1.54031381e-01
  7.07314312e-02 -5.87366581e-01  1.19455409e+00 -3.37978005e-02
  1.05032325e-03  3.24255303e-02 -3.74595165e-01 -8.41083378e-03
  1.73977181e-01  4.15253401e-01 -1.73364237e-01 -2.72176147e-01
  1.21160543e+00 -1.61376968e-01 -3.01790461e-02 -3.43425721e-02
 -9.23301131e-02 -3.76356661e-01 -2.71058351e-01 -5.56110024e-01
  2.93027014e-01  8.10996369e-02  4.12076086e-01 -2.33535394e-02
 -9.56878245e-01 -3.55181992e-01  5.73631711e-02 -9.75898862e-01
  9.14243683e-02 -8.37322235e-01 -8.67024958e-01  1.17482984e+00
 -5.81418753e-01  3.15950960e-02 -7.59786889e-02 -7.90455043e-02
  1.52031034e-01 -1.36736229e-01 -1.12807298e+00 -3.15648496e-01]",0,{}
4,CC[NH+](C)CC(=O)N1CCN(C(=O)C(=O)N2CCCC2)CC1,0,1,[0],-2.5975777925640138,"[-8.27561140e-01 -1.51427209e+00  9.27984655e-01  3.95681471e-01
  1.32635430e-01 -2.10111094e+00 -6.07473433e-01  3.26963186e-01
  1.66813254e-01 -7.41303205e-01 -1.69439569e-01  2.07863927e+00
 -2.30750740e-01  8.59077990e-01  1.44775379e+00  1.59971088e-01
  8.33910108e-01 -5.16632736e-01 -1.55126166e+00 -3.10713142e-01
 -4.23803210e-01 -2.04984248e-02 -3.82730737e-02 -9.57134247e-01
  5.30171514e-01  4.69474167e-01  8.46996427e-01  2.29606867e+00
  2.22991541e-01  5.71486473e-01 -6.82221353e-01  3.68638396e-01
 -7.26775527e-01  1.07727028e-01  2.09129739e+00 -1.06219125e+00
  1.82104576e+00 -3.39823186e-01  5.17732382e-01 -1.00509083e+00
 -4.43056762e-01  1.03095126e+00 -4.99594986e-01  1.47388721e+00
  1.10787857e+00 -8.15481544e-01 -8.01512659e-01 -1.47491634e+00
  1.50267541e+00  1.63397819e-01  9.28345084e-01 -1.28943455e+00
  7.68772066e-01 -1.40880674e-01 -4.98111606e-01 -3.62228096e-01
  4.91586059e-01  1.09719574e+00  3.15498972e+00 -9.03160512e-01
  7.22303152e-01  1.81372631e+00  1.07160830e+00 -5.91833472e-01
  1.36662126e-01  4.68968153e-02 -2.91716717e-02 -3.88134234e-02
  2.94701755e-03  1.07165307e-01  9.74368863e-03 -3.28777730e-03
 -7.99898207e-02 -6.25252277e-02 -8.10337961e-02 -2.71714441e-02
  4.76204157e-02  1.47362500e-02  2.11834833e-02 -1.82037409e-02
  1.21556151e+00  6.99378327e-02 -6.13647401e-02  3.34725752e-02
 -2.57212281e-01 -1.74969807e-02 -9.29902866e-02  1.79583561e-02
 -6.72161281e-02 -4.80421372e-02  7.50446096e-02 -7.92888403e-02
  1.14696268e-02 -4.88151982e-03 -4.30372655e-02 -2.94477586e-02
 -1.26041636e-01  4.38339226e-02  1.26944959e-01 -3.39914672e-02
  3.56194317e-01 -1.32309049e-02  7.25986809e-03  9.61551443e-03
 -3.81289870e-02 -1.71647742e-01 -1.66900046e-02 -3.10104609e-01
  8.53206217e-02  4.49411385e-02  3.65567282e-02 -6.09059259e-03
  1.61553025e-02 -2.55735964e-02  1.30812898e-02  1.22227386e-01
 -8.01882744e-02 -5.34437820e-02 -8.88656378e-02 -2.73222595e-01
 -1.75347596e-01  3.80635336e-02  3.50693539e-02  4.38350365e-02
  1.92204565e-02  1.33972205e-02  8.99023637e-02 -9.94803458e-02]",0,{}
5,Cc1nn(C)c2ncc(NC(=O)N3CCC[C@H](C(=O)Nc4ccccc4)C3)cc12,0,2,"[0, 1]",-0.3441168657390796,"[-8.00491035e-01 -1.20348692e+00  2.22799569e-01 -3.36832285e-01
 -1.46275893e-01 -1.42327547e-01  3.72811556e-02 -3.88328999e-01
 -1.43052673e+00 -1.58543110e-01  1.69158387e+00  3.70229483e-01
  1.45656228e-01  1.64590105e-02 -9.98002470e-01  1.10646927e+00
 -8.08447957e-01 -6.32008016e-02 -2.70203114e-01 -9.13637757e-01
 -2.80982113e+00  1.14942789e+00  1.77467033e-01 -3.62196892e-01
 -7.46140927e-02  8.84504676e-01  1.17536366e+00  3.05773199e-01
 -2.83154577e-01 -4.43592757e-01 -1.06696296e+00 -9.53312159e-01
  1.36626828e+00  1.00240432e-01  6.13684773e-01  7.30388820e-01
 -3.45881879e-01 -4.27215993e-01 -8.62745792e-02 -1.45244527e+00
 -1.22668672e+00  5.28867960e-01 -1.50925350e+00  1.61859274e+00
 -3.83394569e-01 -1.82750380e+00 -7.50772476e-01  1.25318980e+00
  1.98518530e-01  1.35868156e+00 -2.90188521e-01 -2.00166774e+00
  3.45544040e-01  8.74929786e-01 -7.85941839e-01  1.12961672e-01
 -1.05185127e+00 -1.52213186e-01  3.88197780e-01 -2.51466334e-02
  4.06137794e-01  2.35801744e+00  5.43030381e-01  1.21223128e+00
  5.50389409e-01  2.75997967e-01  1.02942526e-01 -7.26908445e-03
 -1.06222034e-01  1.02705121e+00 -7.14297518e-02  6.47430718e-02
  2.90642977e-02  7.72271603e-02 -5.44382513e-01 -1.42461360e-01
 -1.88571930e-01  1.12182297e-01  3.57558355e-02  4.29074883e-01
  1.46127522e+00  5.34507483e-02 -2.78824791e-02 -5.27259409e-02
  1.11242354e+00 -5.84564567e-01  1.78799820e+00  1.76174834e-01
  1.93753421e-01  1.01728499e-01  5.16665757e-01 -4.00319934e-01
 -1.08727776e-01  1.41816840e-01 -2.37664714e-01 -1.04086436e-01
  3.43865305e-02 -4.79231864e-01 -1.90434813e-01 -3.35480303e-01
  8.23775768e-01  4.99882922e-03  3.03003788e-02 -1.59617990e-01
 -1.59056753e-01 -8.55609715e-01 -3.94993633e-01  1.08517051e+00
  5.96496165e-02  1.42951801e-01  3.40941995e-01  1.41002014e-02
 -6.89708710e-01 -1.22141466e-01  2.19799578e-04 -5.41447461e-01
 -8.39190483e-02 -1.14895296e+00 -3.72896731e-01  1.10606575e+00
  2.96959281e-02 -4.13785055e-02  1.08428039e-01  3.25704008e-01
  5.33122122e-02 -2.49687165e-01  9.77277011e-02 -4.63315427e-01]",0,{}
6,Cc1ccc(C(=O)CCC(=O)Nc2ccccc2-c2ncc[nH]2)cc1,0,1,[0],-2.5687206441147223,"[ 0.7750298  -0.99348533 -1.282912   -0.08128544 -0.4210065  -0.2978084
 -0.15808621  0.63949275  1.3356326  -1.2674019   1.8399982  -1.1513917
  1.7304258   0.78310084 -1.8114138   0.8327125   0.9473361   0.67510134
 -0.9211997  -0.59906584  1.1499379  -1.6334364  -0.33251047  1.5028378
  0.44628012 -0.32381916 -0.252855    1.1241363   1.0311918   0.47611865
 -0.6846763  -0.161825   -0.28799325 -0.15146418  0.075193   -2.7771592
  0.96777916  0.8837075  -2.404448   -0.6988282   1.0267901   0.3943971
  0.9582589  -0.39782363  0.31432953  1.3124563   1.4770057   0.20555428
 -0.13995016 -0.6797938  -1.4667807   0.60915875  0.84242976  0.33274627
 -1.1256374   0.59958154  0.37702483  0.38456982 -0.53344697  0.18276802
 -2.0671222   0.6923189  -0.59429765 -1.8336406   0.30824864  0.12329117
  0.09772173 -0.5721656  -0.14851956 -0.1425527  -0.04380611  0.01875915
  0.91833293  0.00588997  0.17619145 -0.35757986 -0.5662449  -0.09813277
  0.9089382   0.15912914  1.108081   -0.30678883 -0.02450836  0.02845038
 -0.8652257  -0.0042474   0.26908973  0.01803501  0.2371876  -0.6173854
 -0.9253836  -0.52896655 -0.52910376  0.01498744  0.10481683  0.4217816
 -0.60755783 -0.0492201   0.07472482 -0.00885539  0.08703017  0.2273437
  0.08545025 -0.11373037 -0.08830144  0.96952647  0.4016484   1.1548883
  0.2853451   0.1154501   0.09719506  0.05195378 -0.65994656 -0.06477639
  0.23859665 -0.10761162  0.19537714  0.44081658 -1.1486082  -0.8641467
  1.1299096  -0.08575081  0.3880603   0.50325876 -0.07956117  0.55413693
  0.03472652 -0.00618641]",0,{}
7,CCCNC(=O)CN(C)C(=O)CN1CCCc2cccc(F)c21,0,1,[0],-2.6328940572985697,"[-7.38702953e-01  6.73779920e-02 -1.51493564e-01 -1.27762592e+00
  1.80178985e-01 -7.60795772e-01 -4.63074803e-01  8.74623179e-01
  7.27552772e-01  2.42995694e-01  1.92641973e-01  1.79851067e+00
  3.81425798e-01  1.73907244e+00 -6.11379147e-01 -1.00089148e-01
 -3.27076912e-01 -9.08400267e-02 -3.89089406e-01  1.10096264e+00
  1.57149482e+00 -5.39443910e-01  9.20791268e-01  1.07892483e-01
  3.12142730e-01  1.50364816e+00 -1.05306077e+00 -4.17612135e-01
 -6.59095287e-01  8.98967922e-01 -1.24844205e+00 -8.75089645e-01
 -6.87336981e-01 -4.15364742e-01  1.30847454e+00  5.78621030e-03
 -1.34363189e-01 -1.30517840e+00  1.24241316e+00 -3.80422354e-01
 -3.14442635e-01 -1.98546141e-01  1.26660490e+00 -8.88655424e-01
  3.09604406e-03 -2.82472849e+00 -2.02125788e-01  3.88082862e-02
 -9.05693889e-01  1.36136484e+00  1.27079368e+00 -1.28674996e+00
  9.23673213e-02  3.64947915e-02  1.34870446e+00  6.41704619e-01
  4.31096345e-01 -2.03029299e+00  1.41326118e+00 -1.13418138e+00
 -3.33038509e-01  1.51267076e+00 -1.33620930e+00  8.69662046e-01
 -8.74137163e-01 -1.29354894e-01 -9.33325067e-02  2.77074575e-02
  1.22481957e-01  1.54648781e+00 -1.56641722e-01 -1.17555164e-01
  7.29865313e-01 -4.83224541e-03  2.09165186e-01 -3.52350950e-01
  4.27090600e-02  5.09689376e-02  3.84718299e-01 -3.40634227e-01
  6.97621047e-01 -7.16841519e-02  1.99971169e-01  2.18840808e-01
  5.17814994e-01 -1.94930822e-01  1.08452833e+00 -8.09501931e-02
 -1.47073027e-02  5.94281793e-01 -2.25794673e+00  3.74643326e-01
 -1.38186216e-01 -1.11582465e-02 -6.75708503e-02 -2.75179237e-01
 -8.24595571e-01  4.43815202e-01 -4.52020466e-02 -2.08430797e-01
 -8.26941729e-01 -1.01638861e-01  1.34702891e-01 -2.00385123e-01
  1.94171164e-03  6.95491791e-01  2.33713925e-01 -9.34144378e-01
  4.56847996e-01 -3.93602140e-02  6.56535327e-01  1.15643740e-01
  8.07741761e-01 -3.68163109e-01  4.85218585e-01 -4.02496248e-01
  2.01685548e-01 -5.50755441e-01  8.10143709e-01 -1.82178879e+00
 -6.20723724e-01 -3.10302436e-01  1.56765386e-01 -2.18195826e-01
 -1.07400283e-01  2.27529034e-01 -8.64367127e-01  2.23965719e-01]",0,{}
8,C[C@H]1CCC[C@@H]([NH+](C)Cc2cc(F)cc(Br)c2)C1,0,1,[0],-2.862859185764448,"[ 1.40322459e+00  7.52893910e-02  1.95312291e-01  1.64682400e+00
 -2.29089022e-01  2.34390974e+00 -4.71045375e-02 -4.59441334e-01
  4.27766860e-01  1.47493333e-01 -4.31868583e-01  1.15977097e+00
 -1.34896111e+00  1.48833066e-01  5.24855316e-01 -1.47499728e+00
 -9.60648060e-02 -1.44771546e-01  1.23852253e-01 -1.05477476e+00
  3.80262256e-01  1.22524083e+00  2.73736447e-01  7.35449940e-02
  2.53269345e-01  1.83603454e+00  2.25286484e-02 -4.97021154e-03
  1.13788448e-01 -1.37610078e+00  1.01015246e+00  1.82815582e-01
  3.05144906e-01  1.62432209e-01  5.13761342e-02  3.85817528e-01
 -1.09812319e+00 -9.57765818e-01  2.69240558e-01 -2.27000380e+00
 -3.79702419e-01 -1.13361239e-01 -5.38908124e-01 -5.30209601e-01
 -1.16926277e+00  2.11469698e+00 -4.47774172e-01 -4.97617573e-01
 -1.52436107e-01  1.59204006e-03  4.45863307e-02  8.50100964e-02
  8.90581369e-01 -1.54582679e+00  4.56945717e-01 -1.03262353e+00
  7.20797956e-01 -6.55419827e-02  1.12701321e+00 -9.87434983e-02
  1.31812143e+00 -5.57778418e-01 -2.36332059e-01  7.10508525e-01
 -5.85099876e-01 -1.98544368e-01  1.47345185e-01 -3.54308367e-01
 -3.76716793e-01 -4.58358705e-01 -1.64450705e-01  7.34744519e-02
  4.98151392e-01  1.08344555e-01 -1.18775451e+00 -1.72607914e-01
  4.71044451e-01  3.04260135e-01 -3.79931509e-01  2.54437685e-01
  8.68207276e-01 -1.23507157e-03 -1.51836425e-02  1.16324797e-03
  4.14311290e-02 -8.21499228e-02  2.79099870e+00  7.87435323e-02
 -7.81554058e-02  1.31187105e+00  3.50130945e-01 -4.48335558e-02
 -3.49233657e-01  2.95769162e-02 -5.88918030e-01 -3.46411839e-02
  3.95862818e-01  1.85391441e-01 -2.64988303e-01  1.54120028e-01
 -9.90153193e-01  6.74549490e-03 -1.28829464e-01  9.61225182e-02
 -1.62278861e-02 -1.82078815e+00  5.62369227e-01 -1.12839878e+00
  2.14847177e-01 -1.86602026e-02  4.49331731e-01 -9.64269042e-02
 -4.94468898e-01  7.23258793e-01 -4.66678709e-01  3.94798279e-01
 -3.97201449e-01  3.11323225e-01  1.79357719e+00  2.99427092e-01
  1.07386160e+00 -7.65610933e-02  4.06729952e-02 -1.67230874e-01
  1.03467800e-01  3.36677611e-01  2.72830755e-01 -2.28002220e-01]",0,{}
9,Cc1cccc(OCCN(C)C(=O)NCC(C)C)c1,0,1,[0],-2.1308446381704003,"[-1.02670461e-01  5.27774811e-01  1.52484810e+00 -2.02967048e+00
 -1.08515479e-01  4.42137420e-01  7.07630038e-01 -6.44969225e-01
  5.38814306e-01 -9.90777969e-01  7.29376674e-01 -2.68641114e-01
 -6.32151365e-01  5.77492952e-01  3.69750649e-01  1.11451462e-01
 -1.51930833e+00 -2.18325213e-01 -3.11779380e-01  4.58860099e-01
  9.14555073e-01 -7.98803926e-01 -3.66754055e-01 -3.98488402e-01
  1.48002043e-01 -1.90950781e-01  2.01977253e-01  8.95903446e-03
 -3.81900311e-01 -8.69164884e-01  6.68330550e-01  5.49959600e-01
  9.48154092e-01 -3.04675668e-01  1.16239500e+00 -1.19361234e+00
  1.18668449e+00  3.04011077e-01 -1.11062264e+00 -1.65388858e+00
  5.18046200e-01 -1.64106035e+00  7.71630287e-01  2.21578479e-02
  9.63745117e-01 -1.45288870e-01 -9.89477634e-01  1.83912206e+00
  2.51191467e-01  3.20622802e-01 -1.48305929e+00 -1.95076668e+00
 -6.18935466e-01 -5.98935366e-01  2.14002788e-01 -7.22311437e-01
 -1.50310743e+00  5.38316965e-02  8.64513814e-01 -3.04168254e-01
  2.44673729e-01 -6.47951841e-01  1.04152477e+00  1.51109993e+00
 -4.36657131e-01 -7.06559867e-02  1.40116379e-01  1.16157830e-02
  9.62797254e-02 -2.15985328e-01 -3.24808471e-02 -7.09549710e-02
 -2.97000885e-01 -6.83702528e-03  1.13786906e-01  1.06797315e-01
  8.49964917e-02  1.34284213e-01 -3.57605517e-02 -5.96474856e-02
  9.93144751e-01 -3.58367600e-02 -8.70309025e-03 -1.35944411e-03
  1.76124230e-01 -1.30272582e-01  6.65349126e-01  7.59937614e-03
 -2.75940597e-01  3.82045090e-01  6.55693829e-01  4.41932589e-01
  4.07362640e-01 -1.01669401e-01  3.15026581e-01 -1.86894014e-01
  9.17414054e-02  2.82761723e-01  1.34132966e-01  1.73478663e-01
 -2.61452973e-01 -8.15895200e-03 -6.42629042e-02  1.10030293e-01
  8.49988461e-02 -2.00671363e+00  8.59939933e-01 -8.67259085e-01
 -7.71699026e-02  7.17385560e-02  3.72138023e-02 -3.36183072e-03
  4.67900455e-01 -7.83881098e-02 -1.87738061e-01  1.15712368e+00
 -4.47291672e-01  7.13901296e-02  2.02769563e-01 -1.10568106e-02
  8.88116002e-01  2.51370221e-02 -7.53357708e-02 -1.30715430e-01
 -8.66817161e-02 -2.08924666e-01 -2.42113814e-01 -1.04455553e-01]",0,{}
