compound_id,smiles,First generation in which the molecule appears,Total number of generations molecule is present,List of generations molecule is present,fitness,chromosome,Number of times this molecule was evolutionarily created (not carried over through elitism),"Generation, method this molecule was created, and parent ID numbers"
0,O=C([O-])CN1C(=O)c2ccccc2[C@@H]1O,0,1,[0],2.21671655827588,"[-0.26337123 -1.1279033   1.5175872  -0.8278271   0.52533865 -0.94195795
  0.42069122  1.0596914  -0.39682192 -0.8139403  -1.5614591   0.93675685
 -0.316515   -1.1454036   0.4755896  -1.5107898  -2.134302   -0.65620404
  0.13619411 -1.0836084  -0.19186379  1.4734318  -1.1166776  -0.9537542
 -0.37751213 -0.41204315 -1.1797907   0.00293492 -0.9987821  -0.5605203
 -0.71522254  1.5801829  -0.51805025  0.06715098 -0.09398012  0.38451463
  0.9167018   0.98101056  1.6489094   0.25580287  1.0204295  -0.63135517
 -0.54779804  0.28866598 -0.92467654 -0.56803584 -2.040195    1.7769741
 -1.4470382  -0.18067782  1.5728441   1.0818467  -0.36795092  0.7043965
  0.92398906 -0.483971    0.12323861  1.2260628  -0.7457713  -0.06344402
 -1.0926161  -0.39763975  0.87528074 -0.9752304   1.129217   -0.06832763
 -0.08379796  0.89956015  0.256519    1.040405   -0.13122645  0.04994418
 -1.0391899   0.14507069 -0.7432156   0.33219743  0.06648178 -0.04259191
 -0.5596187  -0.15876326  1.0191952   0.1891443  -0.4227062  -0.23837894
  0.74354964  0.44453108  0.01975179  0.07866657  0.03116971  0.02570331
  1.276706   -0.07625389 -0.16594584  0.09872514 -0.6774747   0.00663538
  0.6682001  -0.13355868  0.3378216   0.24559775  0.9349804   0.00659405
 -0.08918887  0.27252716  0.10703944  1.267992    1.1815467  -0.18315601
 -0.4882008   0.02265434 -0.09445536  0.04647221 -0.3130898   1.0475136
 -0.14409605  0.01510945  0.10248278  0.7798867  -0.19920929  0.1976999
  0.05118835  0.00723609 -0.02151987 -0.01705399  0.0451767   0.28512427
  0.39285704 -0.21804145]",0,{}
1,O=C1c2ccccc2C(=O)N1CCSc1cccc[n+]1[O-],0,1,[0],2.1732132231225254,"[-2.15014338e+00 -1.88343990e+00  2.00972110e-02  4.67151046e-01
  2.94138044e-01  1.50811955e-01 -8.73502314e-01  5.44991136e-01
 -4.08726692e-01 -4.86084908e-01 -1.74205101e+00  1.70433545e+00
 -5.69856465e-02  2.42041275e-01 -1.44323662e-01  2.73486495e-01
 -1.04498971e+00 -4.91335571e-01 -3.69473398e-01 -1.22810209e+00
 -4.90331262e-01  2.38441038e+00  3.48879516e-01 -1.46258903e+00
  1.03852963e+00  8.94130290e-01 -3.20691377e-01 -1.57446599e+00
  4.64885414e-01  1.31551647e+00  5.76847851e-01 -1.63230315e-01
  1.11067319e+00 -4.51445818e-01 -1.08502328e+00 -9.61854815e-01
  6.66079938e-01  4.63429719e-01  8.88488531e-01  4.63728547e-01
  2.79118705e+00  2.35223979e-01 -4.91407573e-01 -9.88123715e-02
 -1.21858776e+00  6.14490569e-01  6.65144086e-01  1.47019029e+00
 -2.35712826e-01  1.08604085e+00  1.34331703e+00 -1.57124296e-01
  1.18521273e+00  9.63661432e-01 -7.18897164e-01 -7.96160996e-02
 -9.57713366e-01  7.49688923e-01  1.14598468e-01  3.17271650e-01
 -2.98242211e+00 -1.25726175e+00  8.00279379e-02 -2.30587387e+00
  3.74586284e-02 -1.93694532e-01 -1.66808262e-01 -5.97103834e-02
  3.31012785e-01 -2.08102718e-01 -1.14846967e-01  2.00174749e-03
 -9.17796850e-01  3.83339286e-01  3.85381043e-01 -7.39687979e-02
 -2.81056672e-01  2.35723138e-01  2.17178196e-01 -2.79382288e-01
  1.52636409e+00  9.34440494e-02 -5.36997542e-02 -1.27340212e-01
  6.26754999e-01 -8.41729045e-02  2.53956169e-01 -4.31439281e-02
  4.68267351e-02  3.50549281e-01 -1.01701148e-01  1.94139943e-01
 -1.45028174e-01  1.59411997e-01  1.14299104e-01 -5.85208595e-01
  4.44177568e-01  1.11788839e-01  2.34686330e-01  3.30594540e-01
 -2.63531804e-01 -8.23321044e-02  5.74366860e-02  1.25183225e-01
 -4.96670492e-02  1.02938855e+00  1.56351006e+00 -4.97059762e-01
 -3.33881497e-01  7.50134885e-03  7.08968520e-01  4.16133925e-03
  5.34747958e-01  2.60689348e-01 -1.04469240e-01 -3.07030916e-01
  5.44670224e-01  7.63108909e-01  1.21451929e-01  5.19594401e-02
  4.67427433e-01 -4.82522361e-02 -8.26142952e-02 -2.17584834e-01
  2.69173741e-01  6.22943640e-01  2.62685597e-01  1.23238586e-01]",0,{}
2,N#Cc1ccc(SC[C@H](O)CO)c(N)c1,0,1,[0],2.2218282631196957,"[ 3.22763950e-01 -9.71113443e-01  1.15093064e+00  2.25600794e-01
 -2.13221759e-02 -1.09798324e+00 -1.63312644e-01  2.85095048e+00
 -1.11375344e+00  3.63836408e-01 -2.01967311e+00  1.81210983e+00
 -2.72871047e-01 -2.01484919e+00 -7.13729084e-01  5.15914202e-01
  2.76282698e-01 -8.20284128e-01  6.07331455e-01  2.75268495e-01
  7.01245070e-01 -9.19266999e-01 -2.53929421e-02 -1.35058463e+00
 -6.04023159e-01  4.97812510e-01 -1.02757812e-02 -1.70518422e+00
 -2.25969657e-01  1.04042590e-01 -4.51870024e-01 -7.46350884e-01
  1.45745897e+00  3.29957783e-01  5.80567837e-01 -4.17721093e-01
  1.98332286e+00  7.45694041e-01  1.14355338e+00 -5.85084081e-01
 -1.60475576e+00 -6.06378257e-01 -1.33341837e+00 -1.09802139e+00
  6.34187683e-02  5.35972476e-01 -5.95305204e-01  4.35225457e-01
 -1.91527188e-01 -1.96783924e+00 -3.33711267e-01  3.48831743e-01
 -2.48475850e-01  1.12115228e+00  1.74606276e+00 -6.88393652e-01
 -8.20274711e-01 -1.26527107e+00 -1.20421410e-01  1.00162303e+00
 -1.32875919e+00 -1.40470684e+00  5.39340079e-02  7.97098458e-01
 -1.05453479e+00  3.48418862e-01  1.35109723e-01 -4.62722927e-02
 -1.17243946e+00 -3.69741112e-01 -4.07057330e-02  9.75583866e-02
 -1.69019207e-01  1.35848910e-01 -6.41723335e-01  1.39140189e-02
 -1.08609624e-01 -2.75835507e-02  3.24005038e-02 -2.51308709e-01
  1.61057842e+00 -2.12131351e-01  1.07169040e-02 -2.11061910e-02
 -1.01121736e+00  2.11531624e-01  4.07595336e-01  5.44563532e-02
 -1.34299591e-01 -3.52398515e-01  5.46949327e-01 -2.05117464e-03
 -2.45352954e-01  1.68904379e-01  1.21557891e+00  3.37146342e-01
  2.16502041e-01 -1.50261782e-02  6.20114684e-01  6.20369129e-02
 -3.31281066e-01  2.47741103e-01  1.25308707e-01 -4.84747738e-02
  5.08480370e-02  1.17098081e+00  8.22163150e-02  1.03798294e+00
  1.33434713e-01 -1.21816203e-01  7.72161543e-01 -3.24949682e-01
 -1.12334919e+00 -1.70128524e-01  3.10909301e-02  3.10099810e-01
  1.80699170e-01 -6.05186820e-01  8.28028202e-01 -2.24107385e+00
 -8.02671313e-02 -1.19447604e-01  3.96840006e-01  3.36832732e-01
 -9.00683552e-02  2.31172889e-01 -7.08062351e-01  1.89809859e-01]",0,{}
3,Cc1ccccc1OCc1nc2cc(C(=O)[O-])ccc2n1C[C@H](C)O,0,1,[0],2.27384360697204,"[ 9.59294617e-01  1.48821700e+00  1.46047503e-01  3.10926177e-02
 -5.93475252e-02  1.12802994e+00  1.09339476e+00 -4.35595602e-01
 -8.28467846e-01  1.09740555e-01  1.67308822e-01 -7.82068193e-01
  1.56753278e+00  1.39561400e-01 -2.30195284e-01  1.61735821e+00
 -3.51867557e-01  5.65928936e-01 -1.30394316e+00  4.07705545e-01
  9.02882218e-01 -3.65647316e-01 -2.10305363e-01 -2.44036078e+00
 -1.66767210e-01 -2.09512532e-01  7.85868764e-01 -2.22047821e-01
 -3.17260176e-01 -1.33532262e+00  1.74639010e+00  3.54168639e-02
  1.19913435e+00 -2.68917531e-02  3.34435672e-01 -7.67793179e-01
  1.89017963e+00  3.86982411e-01 -5.41439056e-02 -1.75139201e+00
  1.95173427e-01 -1.17445016e+00  7.44773388e-01  5.25889158e-01
 -7.92010248e-01 -3.79841894e-01 -1.72782838e-01  1.90347528e+00
 -8.39858055e-02 -1.29775548e+00 -1.78450561e+00 -1.30830836e+00
 -4.19693023e-01  2.59258509e-01  3.68155465e-02 -7.89633691e-01
 -4.06017780e-01  1.66301298e+00 -1.14034224e+00  1.99964434e-01
 -1.51667625e-01 -1.87625110e+00 -1.74492598e-03  1.44841921e+00
 -5.16052902e-01 -4.82748598e-02  3.84259671e-02  1.92656264e-01
 -6.03832245e-01  4.61723626e-01 -1.62921935e-01  1.18906513e-01
  2.50302821e-01  3.77921045e-01 -1.34230807e-01 -2.68255889e-01
 -2.77772605e-01 -5.29013500e-02  8.17317292e-02 -5.75341210e-02
  1.22085881e+00 -7.18941540e-02 -7.64277279e-02  1.31509766e-01
  5.91280535e-02  7.49416426e-02  2.75179058e-01  5.53174280e-02
  9.23843086e-02 -7.45219052e-01 -9.82678592e-01 -2.49849916e-01
 -1.91410229e-01  2.44360697e-02  1.28094316e+00  1.15436316e-01
  4.08059716e-01  2.50563398e-02 -7.07697153e-01 -2.82967925e-01
 -7.32419491e-02  5.49858734e-02 -4.94703203e-02  1.25130177e-01
 -1.17357574e-01  4.61726815e-01 -4.27481055e-01 -5.82838953e-01
  1.09808140e-01 -1.68385007e-03 -3.76775146e-01 -1.59213781e-01
  1.24696326e+00 -4.78767842e-01 -7.94862062e-02 -1.68231678e+00
  2.60422051e-01 -8.87888610e-01 -3.84609967e-01  4.48631108e-01
 -4.48962003e-01  1.20849483e-01 -2.71127746e-03 -9.14814621e-02
  8.21942315e-02  4.15970147e-01  4.18479025e-01 -2.35381633e-01]",0,{}
4,CCC(C)(CC)NC(=O)Nc1ccc(C(=O)NCC(C)C)cc1,0,1,[0],2.279964954352801,"[-0.6988486   0.5668206  -1.7609489  -3.4633965  -0.22495224 -0.50893426
  0.40797168 -0.70499146 -0.97321373  0.23584178  0.54957056  0.34024042
 -0.26014072  1.1592029  -1.4729037   1.2750226  -0.23677622 -0.21337546
 -0.09318791 -1.4789392   0.02446714 -1.7889862   0.6291856   0.6644775
 -0.21487857 -0.91054976  1.3646458  -0.18333355  0.66097754 -0.8012635
 -0.21199194 -1.0223976   0.19008654 -0.01005262 -1.1850681  -0.6625338
  0.46262097  0.02839479 -1.5978897  -1.8194788   0.65604657  1.3186148
  0.89679474  2.381292    0.88044286  0.16805482  0.8792136  -0.61598825
  0.6042915   0.05246378  0.42559633 -0.38347962 -2.2357366   0.1208874
  0.10868052 -1.0572635   0.48929372  0.43215734 -0.11463237  0.6674052
  0.3454635   0.966248    0.47980863  1.3688449  -0.6894151  -0.05831013
 -0.01686284 -0.17887488  0.24979655 -0.60048234 -0.01458479  0.04656719
  0.25375712 -0.09031505 -0.34637028 -0.01919182  0.32679385  0.0099032
 -0.13829775  0.02245313  1.4491341   0.00833521 -0.15379533  0.03767332
 -0.09473059 -0.5331253  -0.29703313 -0.0305056  -0.12892741  0.35762402
 -0.1067834   0.24346113  0.10163753 -0.01502033  0.1982922   0.203336
 -0.16669065  0.2941301   0.06841598 -0.01033826  0.25134397 -0.16245878
 -0.05163449  0.09265526  0.0281834   0.80519474  0.35042766  0.3664955
  0.18781121 -0.09386757 -0.20140083  0.02676014 -0.3783834   0.33373642
 -0.03722216  0.8506362  -0.40816367 -0.7081448   0.5970268   0.05294137
 -0.7640007  -0.05607025 -0.1995648   0.04945389 -0.02574676 -0.6036793
 -0.5506907  -0.12528884]",0,{}
5,Cn1cnnc1S/C=C(\[O-])N1CCN(c2ccccc2)CC1,0,1,[0],2.2859437373943656,"[ 1.16364583e-01 -4.57244277e-01  2.66412377e+00  1.43637657e+00
 -3.39811325e-01  6.72477543e-01 -4.82196063e-02 -5.31432867e-01
  6.13852799e-01 -1.00535786e+00 -8.79208386e-01 -7.84515023e-01
 -1.05123329e+00  7.54935741e-02  9.31840062e-01 -3.90996069e-01
 -1.22105628e-01  3.86552453e-01 -6.33634686e-01  1.46234286e+00
 -2.82621884e+00  3.65374804e-01 -5.40771246e-01 -4.92291421e-01
  6.16007745e-02  1.65308267e-01 -6.52664602e-01 -5.10770559e-01
 -1.16492534e+00  1.01507306e+00 -3.51688743e-01  4.34601009e-01
  8.02247465e-01 -3.15666914e-01  1.30431950e+00  8.80282164e-01
  1.38480401e+00 -7.26301968e-01 -9.34507176e-02  6.40350938e-01
 -1.05411708e+00  1.22515425e-01 -1.27679360e+00 -9.48683918e-03
  1.07894230e+00 -1.11758733e+00  7.47799456e-01  4.44730133e-01
 -2.40626395e-01 -6.46577239e-01  1.08733416e+00  1.14919469e-02
 -1.70789075e+00  7.55616054e-02  1.49207723e+00  1.13568127e+00
  5.47209024e-01  5.61341643e-02 -2.19714701e-01 -1.99116349e-01
 -8.94714653e-01  1.82993305e+00 -1.34566545e+00  2.48870444e+00
  8.23143572e-02  1.45872068e-02 -2.51687206e-02  6.13244772e-02
  6.01268113e-02  5.90477765e-01 -5.80901243e-02 -3.80024686e-02
  1.72469407e-01  1.41274244e-01 -2.28721097e-01 -1.88874438e-01
 -3.98855023e-02  1.45213967e-02  1.77504852e-01 -3.32723916e-01
  1.37864745e+00  2.99405754e-02  6.09242283e-02  5.55226132e-02
 -1.61090657e-01  1.62445754e-01 -1.59234941e-01  2.50528529e-02
 -1.95109174e-02  4.58736047e-02  1.75782412e-01  1.20934092e-01
 -1.24433294e-01 -5.74556366e-02  1.71376944e-01 -1.70546636e-01
 -1.13968283e-01  3.54783058e-01  3.54812175e-01  2.12386250e-01
  1.06959417e-02  7.29977936e-02  1.20854549e-01  8.44409615e-02
  5.85560687e-04 -1.17328130e-01  6.38884827e-02 -3.76246452e-01
  1.59607440e-01 -3.20637375e-02  1.76277637e-01  4.52044606e-02
 -9.16582346e-03 -3.29481483e-01  1.07021563e-01 -3.24483812e-02
  1.22580983e-01 -7.15329424e-02 -9.91461203e-02 -6.08920574e-01
 -3.46761346e-02  4.92895953e-02  8.15710891e-03 -3.27034801e-01
  1.07296705e-02  2.76528239e-01 -4.62321490e-01  1.75267547e-01]",0,{}
6,CCOC(=O)c1ccc2nc(C)cc(NC(=O)c3ccc(OC)cc3)c2c1,0,1,[0],2.2547818085852978,"[ 3.42899382e-01  1.57090640e+00 -6.04012311e-01 -1.59452558e-01
  1.08903289e-01 -4.63297844e-01  1.94208980e-01  1.77599236e-01
  2.40923762e-02 -3.72306526e-01  1.02133560e+00  1.02050722e-01
 -1.13843113e-01 -5.62282681e-01 -2.54841149e-03  1.23556244e+00
  8.31716180e-01  8.75728011e-01  6.64386272e-01 -2.64643264e+00
 -1.10951078e+00  1.15472972e-01 -3.13296676e-01  1.90174729e-01
 -1.15392491e-01 -2.33118385e-02 -8.57858062e-02 -5.80338836e-02
 -4.69882458e-01  1.73438287e+00  1.53251946e-01  3.51239681e-01
  4.64065999e-01  2.79208183e-01 -2.17047286e+00  7.05852211e-01
  4.63245898e-01  1.13022184e+00  8.37283909e-01  5.02339840e-01
  1.74055323e-01  6.04422331e-01  2.23626637e+00  1.58276722e-01
 -1.96423376e+00 -5.48206210e-01  1.21206379e+00  6.39857888e-01
  1.06852758e+00 -8.62844706e-01 -8.02527905e-01 -7.08196700e-01
  4.96170729e-01 -9.79092598e-01  6.75923347e-01  4.06881064e-01
  1.30879474e+00  8.73555720e-01 -1.23099422e+00 -2.72234440e-01
 -8.94571066e-01  9.68930066e-01  2.66625613e-01  7.53357112e-01
 -1.28005219e+00  8.25622976e-02  1.22480392e-01  2.98366070e-01
 -7.04572916e-01 -4.99389946e-01  1.26596943e-01  1.11978158e-01
  9.15758729e-01 -1.32332891e-02 -2.77791321e-02  2.17820480e-02
  2.38715306e-01 -1.95804581e-01  2.62277305e-01  1.02444029e+00
  1.78418660e+00 -1.35448217e-01  2.04391748e-01  3.76818091e-01
 -1.29778564e-01  1.28373235e-01 -1.25846416e-01  3.83710682e-01
  2.31487468e-01 -1.54937655e-02 -3.03202480e-01 -3.78932595e-01
 -2.58751929e-01 -7.33987689e-02 -9.79114175e-02  7.08897263e-02
  2.32928514e-01 -7.86449313e-01 -7.62410164e-01 -2.37718105e-01
 -5.01209736e-01  1.29511774e-01 -5.16024306e-02  9.03306454e-02
  4.39479426e-02  4.50841784e-01 -1.17463863e+00 -4.57311273e-01
 -1.74170762e-01  3.60069014e-02 -6.68190897e-01 -4.55306172e-02
 -5.73102355e-01 -4.79897946e-01 -3.11949253e-01  1.75465643e-01
 -2.95106053e-01  2.66115010e-01 -8.10814798e-01  2.54625320e-01
  1.45207554e-01 -1.12192780e-02 -1.30552156e-02  1.75542384e-02
 -1.01349287e-01 -2.19058350e-01 -2.33909845e+00 -1.60356119e-01]",0,{}
7,COC(=O)C[C@@H](C)NC(=O)CNC(=O)C(C)(C)C,0,3,"[0, 1, 2]",2.081361480735523,"[-1.18559098e+00 -1.04950085e-01  1.95765090e+00 -2.82827044e+00
 -5.88758886e-02 -2.37695599e+00  1.99413851e-01  1.10247934e+00
  1.65779543e+00 -8.53553295e-01  6.43158495e-01 -6.14187300e-01
  5.84243655e-01  1.05699646e+00 -9.56556082e-01  1.10614228e+00
 -1.19171035e+00  7.14880228e-01  2.76427567e-01 -1.02073610e+00
  2.14577174e+00 -7.49779046e-01  4.56703275e-01  1.26900434e-01
  1.78398371e-01 -9.14008260e-01  1.52427781e+00  2.95845479e-01
  9.50792551e-01  8.53677809e-01 -4.17189598e-02  4.59175527e-01
  8.31592023e-01  6.91712946e-02 -3.60715955e-01  6.09510899e-01
  5.84304094e-01 -3.18221152e-01  1.35067642e+00  3.52669030e-01
  1.19670129e+00  4.86779392e-01  1.67204309e+00  2.31371975e+00
 -1.90271139e-02  1.58109114e-01  4.67672378e-01 -7.11734891e-01
 -4.08188611e-01 -1.25631928e+00  5.52155077e-02  2.14640528e-01
 -2.67530680e-02  3.71189564e-01  7.95178115e-01 -5.17551154e-02
 -2.00152040e-01 -1.97298825e-02  1.19525754e+00 -3.17401677e-01
 -1.93999678e-01  4.95598704e-01  1.10678419e-01 -6.64215803e-01
  9.13702995e-02 -2.80987099e-03  5.87653331e-02  1.60763040e-01
  5.13660684e-02  1.83006674e-02 -2.54409350e-02  8.56376626e-03
 -1.01083897e-01  8.73272121e-02 -2.72512436e-03  2.66672429e-02
  4.83397841e-02  3.35982740e-02  3.56717221e-02  6.03944585e-02
  1.27455258e+00  3.96611094e-02  2.16437057e-02  1.65300369e-02
  1.17976248e-01  2.53649689e-02  4.37013954e-02 -7.83520937e-02
  5.16356714e-03 -6.61215112e-02 -1.66495219e-01 -2.46594101e-02
 -3.94534618e-02  1.51685914e-02 -1.25695812e-02  1.14900591e-02
  4.04832512e-03 -6.94340616e-02 -1.11245759e-01 -5.94447479e-02
 -8.23003724e-02  4.57212441e-02 -1.80000514e-02 -1.52800903e-02
 -3.04242130e-02  1.38296783e-01 -1.51728630e-01 -1.89984024e-01
 -3.56919877e-02  5.11936285e-02 -1.86919719e-02 -5.73692396e-02
  2.26424001e-02 -7.00712502e-02 -5.58169633e-02 -4.05471325e-02
 -6.44128621e-02 -3.01232897e-02  2.66452879e-03  7.72532597e-02
 -1.48929477e-01  3.23222727e-02  7.97225721e-03  2.57718861e-02
 -2.14279257e-02 -1.60031021e-04  7.92188272e-02  2.90617160e-03]",0,{}
8,COc1ccc(N2CCN(S(=O)(=O)c3ccccc3C=O)CC2)cc1,0,5,"[0, 1, 2, 3, 4]",2.0186439202741115,"[ 1.25649288e-01 -6.88610673e-01 -5.11272013e-01  7.83814490e-01
 -4.81724590e-02 -1.45428032e-01 -2.83364087e-01  1.14605717e-01
 -8.12855959e-01  1.10930383e+00  1.05528057e-01  9.92491663e-01
  5.26487827e-01 -9.86125231e-01  1.85264027e+00 -4.81291562e-01
 -7.26808906e-02  8.60632136e-02  8.34953189e-01  6.39721692e-01
 -4.21002895e-01  2.24723053e+00 -2.56892025e-01 -8.49701524e-01
 -1.47776157e-01 -1.38370097e+00 -6.42495632e-01  1.58578503e+00
  2.92752147e-01 -1.00294495e+00  1.22608495e+00 -6.44357681e-01
  5.16849220e-01  6.03782177e-01  5.16122341e-01  7.94701815e-01
 -1.02361643e+00 -3.83432746e-01 -1.17573690e+00 -1.77965730e-01
  1.03551531e+00  6.21256769e-01  9.86348093e-03 -1.33839929e+00
  6.12831771e-01 -6.63658142e-01  1.45235229e+00 -1.07995972e-01
 -5.93330622e-01 -2.79363334e-01 -2.05228305e+00 -8.88479352e-01
  1.54689956e+00  6.95539176e-01 -1.55311382e+00 -3.70477498e-01
 -7.05913424e-01 -2.51892745e-01  3.70345265e-01  1.44999027e-02
 -8.39259386e-01  2.35634223e-01  1.51390243e+00  1.53283131e+00
  1.82641983e+00  1.75780177e-01 -8.30744207e-02  5.32591045e-02
  2.15224400e-01  2.12003723e-01  6.34389818e-02 -7.56659657e-02
 -1.08209044e-01 -9.88562629e-02  1.81391865e-01  1.42203584e-01
  3.02798182e-01 -8.85094479e-02 -3.58428568e-01  6.90615922e-02
  6.92227125e-01  5.29444814e-02  2.21949860e-01  4.03859019e-02
 -5.97721100e-01 -1.43967956e-01 -1.32326216e-01 -5.24954312e-02
  8.22803676e-02  3.83092374e-01 -9.01996255e-01  1.58716112e-01
  2.86295176e-01 -1.14446014e-01 -4.43494201e-01 -1.33741796e-01
 -8.16021264e-02  7.28504956e-02 -3.16867352e-01 -1.96918994e-01
 -5.11277020e-02 -6.29759878e-02  1.27353519e-01 -1.44607767e-01
 -4.39505875e-02  9.55046475e-01 -4.45577443e-01 -4.85072285e-02
 -3.58219564e-01 -9.98379737e-02 -5.32593727e-01  2.26536021e-03
  1.84657156e-01  1.26585111e-01 -6.74495101e-03  8.59610736e-04
  1.48399532e-01  2.92450905e-01  3.67630184e-01  9.23538327e-01
  5.07497132e-01  1.29847735e-01 -7.25874081e-02 -4.40518931e-02
  6.98795915e-03 -2.92795748e-01  6.04692936e-01 -3.48541178e-02]",1,"{4: 'crossover + mutation, 147.0, 175.0'}"
9,Cc1nc(C)c(CCNS(=O)(=O)c2ccc(Cl)cc2)s1,0,1,[0],2.3534650900271465,"[ 0.20021854 -0.04401115 -1.0271605  -0.15998985  0.43427575  1.6484082
 -0.01895897  0.85554767  0.03555619  0.6796255  -1.1182915   0.7939382
  1.5530909   0.3206452  -0.4077118   0.15678345 -1.2476436  -0.3703426
  0.319413   -1.8428866   0.03243867 -0.34673858 -1.1215811   0.54322857
 -0.25921664 -0.4386606  -0.38673082 -0.6410547   0.21851161 -0.5495489
 -1.677463    0.8202994  -1.4971278   0.17440495  0.5428559   0.90844125
 -1.2684759   0.6631475   0.856532    0.84372735 -0.9876766  -0.37052965
  0.40284106  0.73040736  1.9170377   2.1033888   0.56544894  1.0708946
  0.3413961   1.5192353  -0.03435186  0.78705275 -0.42458576  0.21872708
  0.27366343 -0.07510348 -1.23339    -0.7363666   0.4126525  -0.34384757
  0.21470076  1.3362328   1.2186133  -1.0089988   1.2450687  -0.17802131
  0.02694919  0.9132006  -1.298071    0.09802389 -0.00584319  0.12478194
 -0.01522079  0.2727039   0.20769396 -0.06117207 -0.93053263 -0.1327463
  0.12263052  0.1384467   1.4547013  -0.01506771 -0.05495347 -0.0299644
  0.12604862  0.24286386  0.12746805  0.0370528   0.07974308  0.06019005
 -0.9127193  -0.09342535 -0.23564032  0.09769081 -1.6282982  -0.29055363
  0.41227767 -0.57153267 -0.4559971   0.1860705  -0.53410614  0.17214654
  0.02587954  0.11775525 -0.058101    0.67021114 -1.7065556   0.7734457
 -0.17108239  0.04720067 -0.13182415  0.11555924  0.09737179 -0.3492729
 -0.16179387 -0.54885423  0.23573762  0.45916703 -0.63967186 -0.05973071
 -0.03756553  0.10395542 -0.14250106 -0.01505904 -0.08282105  0.4205164
 -0.57878333 -0.17516707]",0,{}
