compound_id,smiles,First generation in which the molecule appears,Total number of generations molecule is present,List of generations molecule is present,fitness,chromosome,Number of times this molecule was evolutionarily created (not carried over through elitism),"Generation, method this molecule was created, and parent ID numbers"
0,C[NH+](CCCNC(=O)C1=Cc2cc(F)ccc2OC1)CC(F)(F)F,0,5,"[0, 1, 2, 3, 4]",3.7175067940849,"[ 8.56032431e-01 -1.10098243e+00  1.80732727e+00  6.55698121e-01
 -3.14954221e-02  5.21281242e-01 -9.18650925e-01  4.52437997e-02
 -5.33195138e-01  7.96632349e-01 -1.69384074e+00 -2.37127364e-01
  6.64556444e-01  2.39520669e+00  7.17482388e-01  3.75445783e-01
 -1.01655769e+00  3.59443665e-01  2.89413095e-01  2.02715778e+00
  2.52184725e+00  1.11642271e-01  8.43587995e-01  1.22096705e+00
  1.27795398e+00  5.25759935e-01  3.20003080e+00 -1.16777942e-01
  4.91802692e-02  1.53598249e+00  4.43055451e-01  1.44109905e-01
 -2.93765664e-02 -7.22565413e-01 -7.19700634e-01 -6.39468670e-01
  1.90018892e-01  2.49271944e-01  1.21087515e+00  1.61189246e+00
 -8.96182805e-02 -8.36071134e-01  8.40873837e-01  2.16896081e+00
 -4.61687446e-02  4.48282003e-01  7.83486426e-01 -7.20650017e-01
  2.26622179e-01  6.07991815e-02  1.84991121e+00 -9.07804966e-01
 -3.64117175e-01 -6.01931512e-01  1.10291576e+00 -4.49168622e-01
 -1.35977030e-01  6.67574048e-01  4.91251320e-01 -4.83953983e-01
 -1.28905237e+00 -7.63809919e-01 -6.30017996e-01  4.38136816e-01
 -3.12467664e-01 -5.80088794e-03 -4.44457605e-02  6.22307897e-01
 -2.39319429e-01  3.47344458e-01 -7.80903548e-02  7.24587590e-02
  1.04121536e-01  3.22912484e-01 -2.59691298e-01 -2.27524370e-01
 -2.48615488e-01  1.81360856e-01 -5.04393458e-01  2.48627082e-01
  1.48657072e+00 -1.06599003e-01 -2.39001036e-01 -5.91915920e-02
  1.01576328e+00 -6.73049688e-01  4.24012989e-02 -2.37876475e-02
  2.21899915e-02 -1.19190812e-01 -5.59860244e-02 -3.86138618e-01
 -5.42824343e-02  1.34763300e-01 -5.02312183e-01  3.18968654e-01
  1.30483121e-01 -5.15300333e-02 -1.00241446e+00 -3.23558390e-01
  5.38113058e-01 -1.59699216e-01 -9.97638553e-02 -3.51048261e-02
 -1.43206149e-01 -5.58367014e-01  3.37656230e-01  7.53695309e-01
 -1.90719292e-02  1.67918295e-01 -4.83569086e-01 -8.54108185e-02
  5.84561825e-02  3.83952022e-01 -1.86653256e-01 -8.47422481e-01
 -4.35849220e-01 -1.57290280e+00  3.14610600e-01  1.22206736e+00
  1.34063387e+00  3.08492780e-03 -1.24498501e-01  7.80559361e-01
  2.04351559e-01 -3.61821413e-01  2.93065697e-01 -4.87246215e-01]",2,"{3: 'crossover, 101.0, 102.0', 4: 'crossover, 153.0, 0.0'}"
1,CCN(C[C@@H](C)C#N)C(=O)CSc1ccc(C(F)(F)F)cn1,0,1,[0],3.4424073611537214,"[-1.0405893e+00 -4.2569140e-01 -1.5757295e+00  7.3228896e-01
 -6.5481722e-02 -2.4645147e-01  1.6641524e-01 -3.6363685e-01
  9.3825889e-01  1.1599394e+00  2.5954276e-01 -1.6347132e+00
  1.0971481e+00  6.0217440e-01 -1.5734911e-01  1.0723519e+00
 -2.1155003e-01  7.0343465e-01 -2.0615537e+00  2.0195146e+00
  1.9331663e+00 -1.7415050e-01  5.1759124e-01 -4.8278871e-01
  5.7782745e-01  3.4672341e-01  1.8022424e+00 -8.9197779e-01
 -7.2742957e-01  1.0632539e+00 -3.9792606e-01 -1.3288528e+00
  2.7539957e-01 -8.3721504e-02 -1.2183788e+00  2.6550081e-01
  2.0368242e-01 -2.8724756e+00  2.2258651e-01  6.3644850e-01
  6.9210875e-01  7.4004281e-01  6.3264447e-01  3.1969786e-01
 -1.2166665e+00  2.2585028e-01  2.1339808e-01 -5.9563458e-01
 -9.6176553e-01 -1.0938618e+00  8.8542700e-02 -3.3243722e-01
  2.0334955e-01  1.4265848e+00  8.5617608e-01  3.9728004e-01
 -9.8276049e-01 -2.1381959e-01  1.1108488e+00  3.7858605e-01
  1.6556808e+00  2.6336426e-01 -6.3442016e-01  1.4208764e+00
 -6.4520812e-01 -2.8061032e-01  6.4263135e-02  1.4464320e+00
  5.6785560e-01  2.8226614e-02  5.1114179e-02  9.6765533e-03
  1.8073878e-01  1.0312780e-01  8.1104308e-01 -3.5337627e-02
  1.2849186e-01  1.7960314e-01 -1.1418146e-01 -7.4826670e-01
  1.2650398e+00 -1.8197277e-01  1.0982553e-01  1.2825958e-01
  2.8798664e-01 -4.2815901e-02 -1.5958118e-01 -7.6282091e-02
 -3.3040145e-01  2.2127087e-01  4.1954231e-01  5.0455314e-01
  3.0066937e-01 -1.9213617e-01 -8.0133712e-01 -4.5353878e-01
  2.1956640e-01  1.1660469e+00  1.3214426e-01  3.6537313e-01
  4.3822937e-02  6.6779554e-04 -1.0255787e-01  2.2155711e-01
 -1.0277890e-02  6.8945932e-01  8.3503520e-01  1.1110463e+00
  1.6466904e-01  9.7662903e-02 -6.1956733e-01 -4.2559072e-02
  3.5935146e-01 -6.5819722e-01 -1.2278805e-01  8.4470290e-01
 -2.6587093e-01 -6.2867832e-01  5.7647240e-01  6.4544237e-01
  3.6779571e-01  1.4811106e-02 -3.1467810e-02 -3.2300541e-01
 -5.3843893e-03 -2.6156735e-01 -4.7675240e-01 -7.9824895e-02]",0,{}
2,COC[C@@H](NC(=O)c1cc(F)cc(F)c1)c1ccc(F)c(F)c1,0,1,[0],3.2490636454608084,"[ 1.4055182  -0.91401994  0.3839199   1.232909   -0.35330382 -0.06123506
 -1.0443411  -0.39493775 -2.181572    0.76987696  0.34262103  0.66041297
  0.90866804  0.19035675 -0.85182434 -0.68213326  0.289312    0.09170084
  0.5408578   0.36533445  2.8615      1.6653516   0.34769803 -0.12892005
  0.06294912  1.2710563   1.8642159  -0.33624312  0.6345646   1.0381882
  0.6190291  -0.65028536 -1.9932064   0.24505913  0.20271914  0.22715998
 -1.6911733   0.70078903  1.3640908   0.43055868  0.10202348  0.25766146
  1.0268048  -1.3337263  -1.1789585  -1.6384645  -0.37677398 -2.656541
 -1.0065849  -0.556584    1.0426986   1.0954585   0.18403623 -2.4226122
  2.5634499   0.21508048  1.5123672   0.02637634 -0.14621024  0.22402863
  0.26747212  0.10351226  0.06612968  1.497067   -1.5181229  -0.01222596
 -0.16482988 -0.2618904   0.8682134  -0.08808833 -0.31387186  0.44756144
  0.8699716  -0.3172046  -0.13024843 -0.33396444  1.3505476  -0.20915484
  0.1490407  -0.4216567   0.9676547   0.2814569  -0.25841844 -0.05307554
  0.02203253  0.17273557  0.97554874  0.16792828  0.14873037 -0.787652
 -0.11316855 -0.383124   -0.1079708   0.11255594 -1.8613696   0.4245298
 -0.20414674  0.693128    0.1053836   0.15061378 -0.3804835  -0.07750005
  0.05309349  0.20968944 -0.00892835 -0.4264344   0.57852787 -0.20937124
  0.40361333 -0.11516444 -0.20044158 -0.02609253 -0.8029436   0.550853
 -0.00767322 -0.6162518   0.43964204  0.02934471  1.1071529   0.40658197
  0.09731865 -0.04609806  0.13762414 -0.39930925 -0.02904774  0.00860086
  0.822895   -0.30998725]",0,{}
3,O=C(CC1CCCC1)NCCN1C(=O)S/C(=C\c2ccccc2F)C1=O,0,1,[0],3.29173409270109,"[-0.93159044  0.08340809  0.6847315  -1.4820341   0.27953205 -0.47213274
  0.03913659 -1.1750189   0.1787715   0.78993624 -0.40127873  1.0763829
 -0.71740675  1.5038992   0.67356783 -1.9319613   0.12107953 -0.17674948
 -0.5656259  -0.2114622   2.3591273   0.89551765  0.39142087 -0.22208837
  0.91790926  0.6118609   1.9662268   0.9303513  -0.5335455   0.69343066
 -0.47838473 -0.21704058  0.38048768  0.11883132  0.6430051  -2.034167
 -0.65162396  1.1012533   0.54087603  0.635461   -0.5303841   1.2512126
  0.44502833  0.39011803  0.3853416   0.30690312  0.65030766  0.1396013
  1.239135    1.4549181   3.3457909  -0.91650695 -0.5672978   1.4885352
  1.3550558   1.1918164   0.76790935  0.29027995 -1.0587511  -1.2293398
 -1.4733891  -0.90229464 -0.458151   -1.2120032   1.1068091  -0.04421166
 -0.03905888  0.12617102 -0.3074629   0.2507106   0.0197975  -0.01201449
 -0.16884647 -0.01137669 -0.34959432 -0.07175948 -0.13322319  0.11717831
 -0.20484784 -0.02995238  1.180408   -0.05559464 -0.02039038 -0.02128971
 -0.22827289 -0.35922813  0.28681785 -0.09031972  0.01274448  0.13266972
 -0.08978175  0.06455562  0.10391345  0.02967682  1.7879612  -0.05646563
 -0.00708773 -0.13299933 -0.12782444 -0.0824315  -0.2690158  -0.06473915
 -0.02137673 -0.03329353 -0.03755338  0.23607951 -0.15774196  0.17935021
  0.0772159   0.01874558 -0.1666137  -0.02844305  0.46245995  0.30229902
 -0.09218723 -0.45894456 -0.0357321  -0.2274247  -0.08563562  0.11693589
 -0.7553537  -0.03848316 -0.02737542  0.03537347 -0.00489496 -0.10293715
  0.34248528 -0.07431375]",0,{}
4,O=C(Cc1ccc[nH]1)NCC1(c2cccc(Br)c2)CCC1,0,1,[0],3.281252197600382,"[-0.5270728   1.949711   -0.9490516   0.56487286 -0.16311102  0.40989202
  0.8680061   0.44983137  0.3248789  -0.1201284   0.09048963  0.75871253
  2.5497112  -1.1402544  -0.4956422   0.16320875  0.50309813 -0.743093
  1.5839448   0.7727059   0.25024804 -0.7135223  -0.10728519  0.2729004
 -1.105192    1.4599797   2.5156739   0.8457613  -0.37806723 -1.4568212
  0.7744364   0.65920085 -0.46021974  0.51981574 -0.6922036  -0.09084207
 -0.28076884  0.924514    1.4089298  -0.2518453  -0.27341607  1.1253035
  0.33238485  1.0257037   0.98786914  1.6091082   0.6183963  -0.32496724
  0.5136361  -0.22918248  1.9519423  -0.33653897  1.4095778   1.6963663
  0.15864652 -0.9441105  -0.44603014  0.27066773 -0.17482613  0.8989168
 -0.8732581  -0.7958166  -0.12024736  0.58649707 -0.46664205  0.10812123
  0.14347823 -0.5076678  -0.06533505 -0.64713836 -0.10396194  0.26566088
 -0.13728775  0.0385733   0.9923356  -0.23104471  0.982732   -0.06612324
  0.26763573  0.46365646  1.1222086   0.12306572 -0.12343006  0.00882785
  0.8135669  -0.5119791   1.5446379   0.13831073  0.23464    -0.19362576
 -0.21481529  0.03814253 -0.08273657  0.16009131  0.33737206  0.08035146
  0.3040272   0.0288178  -0.6030189  -0.19294485  0.16447493  0.05195682
 -0.03373709  0.06625624 -0.09304594 -1.5966407  -0.8642783  -0.7915796
 -0.17021677 -0.01071335  0.22798122  0.05213667  0.61991274 -0.52032834
 -0.22645855  0.057486   -0.03298753 -0.5376998   0.15490448  0.36349064
  0.50820935 -0.05877644 -0.16337702  0.2548179   0.00713488 -0.7414878
  0.6236439  -0.50703895]",0,{}
5,CCOC(=O)c1c(C)nsc1N[C@@]1(C)CCS(=O)(=O)C1,0,1,[0],3.265171386099226,"[-0.6925026   1.4505546  -0.76620305 -0.66102815  0.33091652 -0.7837326
 -0.53562874 -0.29427052  0.786519   -0.36596286  1.8664377   0.34657162
  0.47652045  0.37018985 -1.217573    0.48617166  0.27972597 -0.536639
 -0.18754068 -2.1318688  -0.38307482 -0.29969308 -0.181133   -0.4091753
 -1.1590722  -1.158514   -0.25375122 -1.2758975  -0.82068324  1.0402987
  1.8634696   1.1457015  -0.04917228  0.06965166  1.014534    1.9997079
  0.1504582  -0.6898501   1.4429402   0.54755485  0.50734776  0.5995651
 -0.16499107  0.9342416   0.35456166 -0.65926045  0.73370755  0.58883774
 -0.0348042   0.04342983 -0.9001024   0.8361696  -0.6142924   0.18119827
  0.2777598   0.11376473 -1.069973   -0.5205359   0.94561666  0.19236472
  0.05796498  0.13430989  0.20822386  0.25042745 -0.0558219  -0.14335899
 -0.07556973  0.5864216   0.19919485 -0.01733458  0.09260998  0.05313143
  0.87659436  0.01111945  1.2221597  -0.6166158  -0.24362999  0.30839112
  0.79225117  0.27347815  1.4092053  -0.26688218  0.10360107  0.25346315
  0.1481829  -0.46751207  0.7576492  -0.06565481 -0.00260862  0.4329946
 -0.1613866   0.16520867 -0.14856562 -0.04472945  0.42526644 -0.30040482
 -0.52551466  0.89250374 -0.6496556   0.23615234 -0.65437365 -0.01492664
 -0.16490044  0.07661425 -0.00264396 -0.06534061  0.1757471   1.2827734
  0.18759564  0.06295292 -0.2637987  -0.05005347 -0.4312351  -0.37626624
  0.14166664  0.57696027 -0.2988827   0.28344014 -0.61253846  0.6964507
  0.6002406  -0.11221227  0.07731505 -0.1261503  -0.09394729 -0.06628388
 -0.2797565  -0.17026192]",0,{}
6,C[C@H](C(=O)NC(C)(C)C)S(=O)(=O)Cc1ccc(Br)s1,0,2,"[0, 1]",3.501534198457094,"[-2.7849346e-02 -3.5162130e-01 -1.2386333e+00  5.5463582e-02
 -3.8631615e-01 -1.0547504e+00  8.3024055e-02 -9.5038795e-01
  7.1815443e-01 -9.0907589e-02  6.2233663e-01 -1.9812742e+00
 -2.4247761e+00 -6.6441637e-01  3.6447132e-01 -8.5727221e-01
 -2.1546930e-02 -8.2338679e-01 -2.3231371e-01 -1.0857062e+00
  4.2471501e-01 -9.6168339e-02  4.4250077e-01  1.5520442e+00
  5.8923095e-01 -1.3359645e-01  1.6412925e+00 -3.8720357e-01
  9.8145580e-01 -5.6418294e-01  3.3587301e-01  1.4332840e-01
 -8.4020323e-01  1.6467433e-01 -8.9273179e-01  1.3767879e+00
  1.8691573e+00 -3.9359772e-01  1.6982346e+00  1.8209650e-01
  1.4515754e+00  7.3537290e-01  2.2017674e+00  6.3414693e-01
  1.1747351e+00  1.9346874e+00 -1.8164539e-01 -3.2228026e-01
 -3.9681894e-01 -2.3659022e+00  1.0035472e+00  6.0884088e-01
  1.7356846e+00 -1.2046695e-03  1.3731112e-01 -5.7974613e-01
  2.1477647e-01 -6.0321301e-01  3.6490560e-01  1.6858581e-01
  1.8360237e+00 -6.6350484e-01 -1.1961427e+00  7.8562266e-01
  4.5410591e-01  3.6678784e-02  1.3716526e-02 -1.2054994e-01
 -1.3824357e-01 -1.0254972e+00  6.8240479e-02 -8.2957149e-02
  3.2139730e-01  5.1553927e-02 -7.5287610e-01  4.0859085e-02
 -8.8420659e-03  7.8376204e-02  1.4324702e-01  1.7903940e-01
  1.5401429e+00 -4.5004472e-02 -7.5506523e-02 -3.5504252e-04
  6.3805526e-01  2.8425473e-01  3.7477511e-01  1.3588749e-01
 -6.6503346e-02  2.5489569e-01 -3.1299320e-01 -9.8957755e-02
 -1.3873374e-01  8.5278913e-02 -1.5665404e-04  6.4258002e-02
  2.8174356e-01 -5.9762578e-02  1.6377603e-01  1.6606897e-03
 -2.1347031e-01  4.7147907e-02  4.5425333e-03 -3.9154768e-02
  1.6750999e-02  2.8372830e-01 -9.6151054e-02  5.2772164e-01
  3.2889239e-02  5.8878627e-02  5.6050223e-01  1.4629576e-02
  8.8525993e-01 -3.5622260e-01  1.3034165e-02  4.5939666e-01
 -2.8105137e-01 -3.6002475e-01  2.9727626e-01  3.6359034e-02
 -6.6543734e-01 -7.3716566e-02  1.4231698e-01 -1.2149060e-01
 -2.7964413e-03  4.7816107e-01  7.9413998e-01  1.2662843e-01]",0,{}
7,Cc1noc(C)c1S(=O)(=O)N1CCN([C@@H](C)C(=O)Nc2sccc2C(N)=O)CC1,0,1,[0],3.172163291692872,"[-1.56124723e+00 -5.12890041e-01  1.94782540e-01  2.13588893e-01
 -1.48981065e-01 -9.60105598e-01 -1.31843656e-01 -7.50827968e-01
  5.39015055e-01  2.91184068e-01  1.71501565e+00  2.48477802e-01
  5.34232259e-02 -7.34530330e-01 -9.48361605e-02  3.24221134e-01
  7.63476610e-01  6.75056636e-01 -8.17638755e-01 -1.29239559e+00
 -3.45994711e-01 -5.45480788e-01 -4.26666081e-01  5.25082946e-01
 -1.26747474e-01 -6.11582279e-01  1.62782979e+00 -1.30075753e-01
 -4.89993989e-01  6.43321276e-02  1.10566473e+00 -2.01756930e+00
  6.84093416e-01 -4.31326926e-01  1.38126642e-01  2.08239794e+00
  6.72709048e-01  9.76856530e-01 -2.51183957e-01 -7.02720046e-01
 -5.10280728e-02 -4.81353223e-01 -3.06089580e-01  6.60134971e-01
  1.55322623e+00  1.35589600e+00  4.95349169e-01 -1.51250735e-01
  1.24150217e+00  1.60285592e-01 -2.06114739e-01 -6.44959331e-01
  2.31691933e+00  1.31313550e+00 -1.16269457e+00  3.35785449e-01
 -1.21129870e-01  9.95990217e-01  2.44591928e+00 -3.44225079e-01
  1.87395477e+00  2.99865305e-01 -2.92736471e-01  3.38811088e+00
 -1.77275598e-01 -7.86701366e-02 -1.84894040e-01  3.83919895e-01
 -3.40442300e-01  1.19101226e+00  1.51363373e-01 -6.52934015e-02
  6.88812137e-01 -1.76893115e-01  1.35489690e+00 -3.03106308e-01
 -9.58594829e-02 -5.49084805e-02  4.58282351e-01  7.71991253e-01
  1.37141407e+00  1.59680426e-01  2.28129476e-01  2.03880370e-01
  1.66566238e-01 -1.44427344e-02 -1.52407020e-01  6.99119642e-03
  1.70365274e-01  1.75098822e-01 -5.11632442e-01  1.45921215e-01
  9.24348831e-04 -2.93908715e-02  3.01366866e-01 -4.97441590e-01
 -1.64454550e-01  2.12999165e-01 -6.69893086e-01  2.51374274e-01
 -4.17128593e-01 -2.07584396e-01  2.30445638e-02  8.09013471e-02
 -7.86094069e-02  2.35478729e-01 -1.99792206e-01  2.76728988e-01
 -8.81310105e-02 -2.25190446e-01 -4.79076579e-02  1.18368715e-02
 -5.64953566e-01  5.78578711e-02  6.84239343e-02  5.32364607e-01
 -1.15095861e-02  1.16330111e+00 -1.00916684e+00 -3.59121442e-01
  1.01106310e+00 -1.43740803e-01 -8.55722427e-02 -5.96299842e-02
 -1.82103440e-01 -7.58230388e-02 -4.93560135e-01  5.07883430e-02]",0,{}
8,Cn1ncnc1CCNC(=O)CSc1ccc(C(F)(F)F)cn1,0,1,[0],3.169200400501433,"[-1.1175562   0.07301907  0.7630105  -0.63256586  0.04729734  1.5310727
  0.35577548  1.8274509   0.84841096  0.28599545 -0.54313326 -1.6592892
  0.6913739   1.5821824  -1.5852668   2.6800914  -1.6924307   1.2600037
 -1.840617    1.3768345   0.4949329  -0.59505403 -0.17362595 -0.9373904
  0.5383998   1.2103047   1.0268397   0.7380869  -1.1087056   0.62712187
 -0.8561274  -1.648913    0.80699974 -0.28310758 -0.34019992 -0.25515252
  0.59437156 -1.4868414   1.450738    1.5306661  -0.20029335 -0.9209088
  0.9151882  -0.44188756  0.03782573  0.53214604  1.0239127   0.5238661
 -0.72856057  0.11009422  1.4461076   0.19865066 -0.40267023  1.261271
  1.8928567  -0.1799995  -1.4333117  -0.7256219  -0.2732808  -0.7587826
 -1.4279062  -0.08963701 -0.7928019  -0.46380132 -0.6488     -0.26001048
  0.07938214  0.9240365   0.39894953 -0.28023195 -0.18691671  0.20106909
  1.0755098   0.2679699   0.95099795 -0.48579913 -0.08709273  0.21399575
  0.20524456 -0.60884684  1.2051811  -0.25457034 -0.2675389   0.13828188
  0.04851446 -0.36924207 -0.23251006  0.11399888 -0.27302778  0.25411618
 -0.59933555  0.45593044  0.10485867 -0.1301101  -0.36184922 -0.02554541
  0.12006519  1.279      -0.12982136  0.3775115   0.3629514  -0.17490235
 -0.20613796  0.31949395  0.01230108  0.28701836  0.5627057   1.2472975
  0.38979816  0.04477201 -0.22849514  0.02329514  1.2231661  -0.5676068
 -0.1959265   0.9277208  -0.2965505  -0.5448172   0.09370844  0.6865262
 -0.13350013 -0.0356228  -0.09839754 -0.35800514  0.0846421  -0.08884636
 -1.4817764  -0.3819805 ]",0,{}
9,CC(C)[NH+]1C[C@H](C)[C@@H](NC[C@@H]2CCN(c3ccc(F)cc3)C2)C1,0,1,[0],3.2054941881264707,"[ 0.6177007   0.0640604   0.8772679  -1.6281894   0.07451078  1.9693846
 -1.2244477  -1.0914524  -1.2907615   0.90131927 -0.8038121   2.4954967
  0.14882311  0.68716645 -0.24618587 -1.1217884  -0.4011888  -1.480279
 -1.054594    0.41003796 -0.8027897   0.77013797  0.5352245   1.6561154
  0.43728322  0.53728896  0.6108765  -1.9236851  -1.974416    1.8738458
  1.1410898   0.42571336  0.59641    -0.27157515 -0.9685162   1.6489803
  0.67693776  1.1422718   1.1360615  -0.5421716  -1.2285657   1.1073633
  0.69512755 -0.5696492  -0.17208116 -0.02055544 -0.09368866 -1.9432133
  0.3788053   1.2885692   1.0855001   0.05498081 -1.3363718  -0.41749164
 -1.2822905   0.30168727 -1.6862565   1.1922684   0.4069661  -0.87089825
  0.7040734  -1.2253517  -2.4830775  -0.13815275 -0.24003604 -0.16468261
 -0.10875572  0.93424654 -0.8080243   0.85088676  0.04994039 -0.02198198
 -0.82753396  0.27030045 -0.6072618   0.02925183 -0.42419237 -0.06654214
  0.29713863 -0.2811075   1.5763298  -0.04203159  0.00846456  0.04789711
 -1.1227262  -0.02643901  0.8760874  -0.07014766 -0.03340277 -0.8571941
  1.3079334  -0.3542507  -0.06598976 -0.00344093 -1.6007265  -0.12625307
 -0.29860055 -0.4964554  -0.08523662 -0.1400537   0.1612188   0.12358014
  0.06250345  0.15235937 -0.09152431  0.7433034  -1.0014162   1.1860195
  0.4593864   0.03281307 -0.55683327  0.02337873  0.03497154 -0.3063584
  0.2566991  -1.0911638   0.30299512 -0.6712121  -0.11417875 -0.31214425
  0.13838196  0.19488868  0.07546404  0.11617895  0.15872389  0.32829624
 -0.55345917  0.14292511]",0,{}
