compound_id,smiles,First generation in which the molecule appears,Total number of generations molecule is present,List of generations molecule is present,fitness,chromosome,Number of times this molecule was evolutionarily created (not carried over through elitism),"Generation, method this molecule was created, and parent ID numbers"
0,Cc1ccc([O-])c(C[NH+]2CCc3ccccc3[C@H]2C)[nH+]1,0,1,[0],3.467951220141996,"[-3.50407064e-01  4.47203666e-01  1.17015854e-01  2.65757054e-01
  2.79017150e-01  1.67598987e+00  3.53647858e-01 -6.45212471e-01
 -5.55027723e-01 -9.82100070e-01  1.03779629e-01 -8.50955307e-01
 -5.17087698e-01  3.68105829e-01 -9.92504209e-02  2.90212631e-01
 -1.07026339e+00 -1.07519627e+00 -4.42996383e-01 -1.56004250e+00
 -6.26476765e-01  3.20990801e-01 -1.61798745e-01 -1.61790037e+00
 -4.79020685e-01 -7.70103693e-01 -9.38378930e-01 -2.09137392e+00
 -1.24693811e-02  1.33861041e+00 -1.17186904e+00  1.46608675e+00
 -1.27646372e-01  1.19910590e-01 -2.62543201e-01  1.05865693e+00
  1.06992945e-01  6.09187722e-01  7.75527537e-01 -9.57268357e-01
  1.12794602e+00 -4.08672333e-01 -5.77493668e-01 -4.18773770e-01
 -2.93740249e+00  1.14822686e+00 -1.28662550e+00  5.75939119e-01
 -6.34178460e-01  7.89756179e-02 -5.72428107e-01  1.51591599e+00
 -2.10855865e+00 -6.74942970e-01 -2.66210347e-01  5.31958938e-01
  8.58008921e-01  2.46944010e-01 -1.76909864e+00 -4.25938547e-01
 -8.12952280e-01 -3.37116361e-01  8.20890486e-01 -2.44772959e+00
 -1.47756748e-03 -1.74660176e-01 -1.92320228e-01  2.07006931e-03
  4.03939694e-01  6.42195404e-01  2.97997221e-02 -2.44531035e-02
 -1.18467927e+00 -1.46421105e-01 -5.98813295e-01  8.18417847e-01
 -2.35202432e-01 -4.87743974e-01 -8.68068516e-01 -3.56716424e-01
  9.43609893e-01  1.24506205e-01 -5.21988153e-01 -2.30530754e-01
 -6.48327887e-01  5.15623093e-01 -4.78503764e-01  8.93004537e-02
 -1.01998582e-01 -1.44404739e-01 -5.26773334e-01  3.30139369e-01
  3.00614446e-01 -4.99125272e-02 -9.84873533e-01  5.68513989e-01
  1.83618098e-01 -2.85018384e-01  1.12379238e-01 -1.49378568e-01
  1.58875394e+00 -4.63730618e-02 -2.39949703e-01  3.69626790e-01
  1.10104643e-01  2.16933298e+00  2.22117329e+00 -1.98644876e+00
 -4.29221153e-01 -4.18602526e-02 -3.94809783e-01  2.11658388e-01
  2.59367752e+00  7.16034651e-01 -5.00018746e-02  4.14729625e-01
  4.94912118e-02  3.55542332e-01  2.86080778e-01 -5.46747565e-01
 -1.33077681e-01 -2.13471368e-01 -3.50239724e-02  4.86667454e-02
  1.77788869e-01  2.96517611e-01 -2.44932368e-01  1.13864213e-01]",0,{}
1,CN(Cc1cccs1)C(=O)C(=O)Nc1ccc(F)c(Cl)c1,0,3,"[0, 1, 3]",3.145050281596014,"[-0.12368965 -0.67980427  0.3089266   0.9662571  -0.2821092  -0.9721483
  0.18909287 -0.44948643 -0.19480112 -1.3368366   0.41435713 -1.0558372
  0.8354933  -0.3161948   0.72374016  0.3259651  -0.70712847  0.15825722
  0.5761089  -0.24898085  0.22187205  1.2255921  -0.3443769   0.44314706
 -0.37840152  1.4374518   1.8262411   0.9300594   0.17785217  0.01643851
 -1.9829688  -0.95960236 -1.227821   -0.04972523 -0.08553542 -1.2595876
 -0.7143639  -0.44276053  0.43855542  0.6149274   0.54653454 -1.1355323
  0.21290202  0.24708775  1.2054701  -1.2529026  -0.3524422  -1.0398719
  0.15038401  0.38829052  1.0949943   0.4613592   0.7486776   0.13447228
  1.2632588  -0.28557038  1.418476   -0.8243042   0.71635586  0.65786326
  0.9568563   1.5524946   0.65890735  1.3644643   0.8240561   0.08791967
  0.03620186 -1.2680274   2.0519497  -0.9121582  -0.11908597  0.07323369
  0.06153075 -0.34667382  0.39670008 -0.41555488  1.5579579   0.19529618
  0.810267   -0.3085345   1.6509908  -0.02629869 -0.21064638 -0.15187013
 -0.27115113 -0.2696977   0.04461807  0.05615688  0.10390693 -0.22641975
  0.12841955 -0.4231517  -0.10019796  0.07867702 -0.07703407  0.17963104
 -0.52256805  0.79203326  0.37687144  0.02875069 -0.40520352  0.0467318
  0.02666872 -0.02000004 -0.05857155 -0.1914933   0.40042156  0.2335682
  0.6657362  -0.02232599 -0.5750783   0.09085429 -0.29078233 -0.42160037
  0.1147282   0.55079305  0.19997811  0.37890756  0.10263138  1.2227587
 -0.81568056 -0.21803035  0.38328245 -0.33313555  0.08740653 -0.24851002
  0.256572   -0.22507761]",1,"{3: 'crossover + mutation, 137.0, 117.0'}"
2,CCN(C[C@H]1CCOC1)C(=O)NC[C@H](c1ccccc1)N1CCOCC1,0,2,"[0, 1]",3.201498155724169,"[ 1.87907573e-02  4.48483884e-01  5.56036532e-01 -9.29763615e-01
 -4.45141941e-02  1.27207196e+00  6.53703630e-01 -1.23835373e+00
 -3.45606029e-01 -1.24742520e+00  2.94488609e-01  5.76153278e-01
  1.55796289e+00  8.26278090e-01 -1.28957760e+00 -1.05910599e+00
  1.64897311e+00  5.06899714e-01  6.45817220e-02  1.61408663e+00
 -1.20796239e+00 -3.70218515e-01  1.17844269e-01 -1.04111695e+00
  4.13302124e-01 -1.28804341e-01  9.32258844e-01 -5.18666580e-02
 -1.13200955e-01 -1.82568967e+00 -6.47556484e-01  5.57653785e-01
 -1.39462680e-01  1.93113610e-02  6.89016432e-02 -1.80930781e+00
  4.89908814e-01 -5.37830949e-01  7.08891511e-01 -9.24194515e-01
 -3.87269735e-01  3.06950271e-01  2.68257186e-02  8.18271697e-01
 -1.30775559e+00 -2.04631281e+00 -8.60035777e-01 -1.97878289e+00
  1.92251539e+00  4.87104177e-01  5.71980715e-01 -1.08949733e+00
  1.13054824e+00  1.16698056e-01  5.32113135e-01  1.01251531e+00
 -2.67835289e-01  3.83004725e-01  1.43866643e-01  7.22949028e-01
  6.19298816e-01  7.15336680e-01 -6.11092210e-01  9.75419521e-01
  6.44543052e-01  1.38260469e-01 -4.61576693e-02  5.66733420e-01
 -3.62805426e-01  5.65203667e-01 -7.73161724e-02  1.41377538e-01
  4.82801914e-01  2.86279649e-01 -5.99626780e-01  5.88382930e-02
  1.24140149e-02 -7.58106709e-02 -2.63062000e-01 -2.67199159e-01
  6.53850317e-01  1.29201323e-01  9.51576978e-04 -1.00260764e-01
  1.29525781e-01 -3.33592296e-02 -5.16739666e-01  6.22487925e-02
  2.96196770e-02  7.64194354e-02  5.86465120e-01 -9.46620852e-02
 -1.54982835e-01  1.92791894e-02 -6.21236444e-01  1.49170727e-01
 -1.66714758e-01 -2.20269844e-01  4.15588468e-01  7.85319060e-02
 -1.60684571e-01 -4.43236008e-02  9.45498422e-02 -1.21978104e-01
  4.05066833e-02 -5.74180365e-01 -8.55338573e-02  1.36247921e+00
 -3.16288531e-01 -1.31308604e-02 -1.93860129e-01  7.46931955e-02
  2.91823328e-01  7.38752484e-01  7.17561916e-02 -6.06312811e-01
  1.30787879e-01 -2.36976594e-01  8.41280937e-01 -1.03134441e+00
  2.13476658e-01 -1.12176098e-01  2.55820621e-03  1.55696407e-01
  3.80810499e-02  3.74767780e-01  1.17769673e-01  4.51112576e-02]",0,{}
3,CNC(=O)Cc1nc2scc(-c3ccc(F)cc3)c2c(=O)[nH]1,0,2,"[0, 1]",3.204058882262747,"[-0.5480312  -0.11926419 -2.0854142   0.50576645  0.13482088  0.71384954
 -0.6248641  -0.2626075   0.34889954 -1.0337353  -0.5198724  -0.8437138
  0.8041958   0.5896849  -0.12350491  0.19989285 -0.4697938  -0.35251763
 -0.7001979   0.38123    -0.3220217   1.4532932  -0.01935393  0.8755019
 -0.01309404  0.7494886   0.459785    0.97461176 -0.6605624   1.193113
 -0.8798919  -1.2964149  -1.4355903  -0.6331807  -1.0513039   0.19755247
  0.66241616  0.3777482   1.2650057   1.575139    1.8955166  -0.88976425
  0.01577101  0.57756424  1.1514946  -1.6155341   2.0289454  -1.622597
 -0.46562573 -1.8359743   0.8268018   0.04713336  0.80636525 -0.83687997
  2.0559933   0.29999697  0.38069293 -0.9913607   0.7114392  -0.08150811
 -2.0788198   0.25425     0.2333925  -0.72373223 -0.4713338   0.08710799
 -0.13373332  0.83647513  0.03968336  1.3817391  -0.09351917 -0.2871564
 -0.708495   -0.4663644  -0.2127389   0.12571189 -0.25081345  0.19324623
 -0.05972117  0.22129722  1.5823693   0.04590038  0.02790674 -0.23947448
 -0.33767325 -0.04574777 -1.2889328   0.07455237  0.10795011 -0.06743357
 -0.2451512   0.20221648  0.48372763  0.24192882 -1.4732813  -0.9124794
 -0.04135659 -0.17503445  0.25814995  0.01846935 -0.6350255  -0.02685986
  0.01216292 -0.20960821  0.04734252  0.16623355  0.99720985  0.40169233
 -0.06779021 -0.10020841 -0.4050013   0.05865346 -0.5083294   1.171157
  0.15302303  0.5906499   0.09035157  1.4400322  -0.80880016  1.1630294
 -0.12620637 -0.30719912  0.12834415 -0.26488116 -0.00665943  0.14449379
  0.11903258  0.17644762]",0,{}
4,CC(C)COCC/C([O-])=C(\C#N)C(=O)Nc1ccc(F)c(Cl)c1,0,1,[0],3.493390164126289,"[-9.93850470e-01  1.63940048e+00 -2.01973915e-01  4.79972005e-01
 -1.43098533e-01 -6.27007842e-01  8.20050240e-01 -6.10588610e-01
 -1.09092796e+00 -3.07001650e-01 -1.64592719e+00 -5.46359897e-01
  8.60998690e-01  5.94658911e-01 -1.14747930e+00  1.01512647e+00
 -6.70870364e-01 -2.27926254e-01 -1.59488261e-01  1.53404832e+00
  4.04742146e+00 -1.88603938e-01 -8.39047313e-01  1.41247427e+00
  5.21638393e-01  9.93014395e-01  9.03358340e-01 -1.56415904e+00
 -1.65121421e-01  1.65760949e-01 -8.24172676e-01 -5.99552691e-01
  4.22579348e-01  3.67969215e-01  4.88330245e-01  4.33735222e-01
 -5.35385966e-01  1.51642203e-01 -9.80448246e-01 -1.71952951e+00
 -7.18172848e-01 -1.19563305e+00 -2.38050222e-02  2.52614117e+00
 -8.27394903e-01  2.10982394e+00  6.69509113e-01  1.61658335e+00
  8.32197607e-01  2.53115416e-01  1.27092278e+00 -4.17415023e-01
 -8.30019891e-01 -1.47126898e-01  2.03060746e+00  8.68593216e-01
  1.63838565e-02  1.18324816e+00 -1.97325349e-01 -1.52622783e+00
  1.20878983e+00  8.42922866e-01 -1.20545447e+00  1.17757571e+00
  5.65359652e-01  9.80437174e-02  3.57993767e-02 -8.92706335e-01
  1.80978727e+00 -3.48833859e-01 -3.34516615e-02  1.09553352e-01
  1.25189051e-01 -1.61825553e-01  2.69636661e-01 -1.94392204e-01
  1.34290075e+00  1.20141476e-01  5.33105671e-01 -2.97019809e-01
  1.39966726e+00 -2.90999115e-02 -1.11505136e-01 -1.32441655e-01
 -7.79037923e-02 -2.74758399e-01 -3.28154236e-01 -3.99048850e-02
  1.23253495e-01 -2.16173053e-01  5.55279016e-01 -3.76723826e-01
 -1.79092437e-02  1.20451450e-02 -1.58294529e-01  2.92889893e-01
 -5.68884194e-01  5.13674259e-01  1.99513435e-01 -1.77889131e-03
 -5.59998035e-01  7.68903866e-02  6.34054244e-02 -5.96859828e-02
  2.42914557e-02 -2.59415925e-01  5.48170686e-01  2.37510875e-01
  3.58297408e-01 -2.54193451e-02 -7.50678539e-01  7.83820078e-02
 -6.78021252e-01 -5.85578382e-02  1.12762421e-01  2.46802658e-01
  2.21307412e-01  4.07104969e-01  1.43747434e-01  7.78340757e-01
 -5.05247831e-01 -1.27911448e-01  2.07280457e-01 -3.79582010e-02
  1.26206614e-02 -2.88401514e-01  1.00221723e-01 -8.25836733e-02]",0,{}
5,CCc1cc(C(F)(F)F)c2c(C3CCN(C(=O)c4cn(C)nc4C)CC3)noc2n1,0,1,[0],3.347461912573042,"[ 0.20179625 -0.2725809  -0.39059484  1.2398597   0.0192312  -0.33207867
 -0.69830227  0.39013463 -1.3453062   1.3673346   1.6171007  -1.1362355
 -0.9636812   1.2670741   0.3590509   1.7279861   1.7630353   1.397871
 -2.100319   -2.0435512   1.3435336  -2.2836394   0.42297924  0.56579846
 -0.00909225  0.8877558   0.31065315 -0.81670874  0.27837747  1.1304166
  0.7180693  -2.0823393   0.39077267  0.13009019 -1.2571824   0.35989627
 -0.00791395  0.21723002  0.39891368  0.16943318 -2.4727826  -2.2148457
 -0.7573464  -0.33269012 -1.1522297  -0.65876526 -3.3275962  -1.1004243
  0.6350601  -1.0272832   0.29007432 -1.291406   -1.02496    -1.7471973
 -1.1690271   0.68817633  0.91355056  0.19013926 -0.5345111  -1.1149768
  0.5199404   1.4677072  -0.33447275 -0.33780646  0.3497724   0.0271996
  0.16044414 -0.09028053 -0.32828596  0.34848687  0.13519609 -0.01770614
 -1.4799907   0.1423977  -0.19679892  0.19868082  0.10002619  0.00945542
 -0.29159522 -0.29332498  2.1197677  -0.09617202 -0.1767387  -0.14575264
 -1.0642989  -0.23190925 -1.1838204  -0.16647214 -0.11962923  0.11164992
  0.10126005  0.28055984  0.42700517  0.20767635  0.6273038  -0.07237906
  0.22415486  0.09230798 -0.35698527 -0.02982647 -2.04688     0.0227539
 -0.04029685 -0.02289532 -0.05013632 -0.8134047  -0.0808678   0.33864534
 -0.18226755 -0.10622562 -0.3435282  -0.106029   -0.32010856  0.17766368
 -0.06634247  0.1050031   0.44689566  0.86289996  1.4533278  -0.41037345
  1.1423767  -0.02501208 -0.09984034  0.02515708  0.14863476 -0.0454672
  0.5904418   0.15510404]",0,{}
6,COC[C@@H](NC(=O)c1cc(F)cc(F)c1)c1ccc(F)c(F)c1,0,2,"[0, 1]",3.227368251776593,"[ 1.4055182  -0.91401994  0.3839199   1.232909   -0.35330382 -0.06123506
 -1.0443411  -0.39493775 -2.181572    0.76987696  0.34262103  0.66041297
  0.90866804  0.19035675 -0.85182434 -0.68213326  0.289312    0.09170084
  0.5408578   0.36533445  2.8615      1.6653516   0.34769803 -0.12892005
  0.06294912  1.2710563   1.8642159  -0.33624312  0.6345646   1.0381882
  0.6190291  -0.65028536 -1.9932064   0.24505913  0.20271914  0.22715998
 -1.6911733   0.70078903  1.3640908   0.43055868  0.10202348  0.25766146
  1.0268048  -1.3337263  -1.1789585  -1.6384645  -0.37677398 -2.656541
 -1.0065849  -0.556584    1.0426986   1.0954585   0.18403623 -2.4226122
  2.5634499   0.21508048  1.5123672   0.02637634 -0.14621024  0.22402863
  0.26747212  0.10351226  0.06612968  1.497067   -1.5181229  -0.01222596
 -0.16482988 -0.2618904   0.8682134  -0.08808833 -0.31387186  0.44756144
  0.8699716  -0.3172046  -0.13024843 -0.33396444  1.3505476  -0.20915484
  0.1490407  -0.4216567   0.9676547   0.2814569  -0.25841844 -0.05307554
  0.02203253  0.17273557  0.97554874  0.16792828  0.14873037 -0.787652
 -0.11316855 -0.383124   -0.1079708   0.11255594 -1.8613696   0.4245298
 -0.20414674  0.693128    0.1053836   0.15061378 -0.3804835  -0.07750005
  0.05309349  0.20968944 -0.00892835 -0.4264344   0.57852787 -0.20937124
  0.40361333 -0.11516444 -0.20044158 -0.02609253 -0.8029436   0.550853
 -0.00767322 -0.6162518   0.43964204  0.02934471  1.1071529   0.40658197
  0.09731865 -0.04609806  0.13762414 -0.39930925 -0.02904774  0.00860086
  0.822895   -0.30998725]",0,{}
7,COC(=O)c1c(NC(=S)NC(=O)Cc2ccc(Cl)cc2)sc2c1CCC2,0,4,"[0, 1, 3, 4]",3.230044299057966,"[-0.8415269   0.67570406  1.5040749  -0.05725715 -0.1972053  -0.88483214
  0.33081928 -0.12374668  0.21754363  1.1290691   0.76961946 -0.45065215
  0.05969742  0.23287107 -1.9695055  -0.72710943 -0.6282561   1.1439415
  1.4335994  -0.96954    -0.00392152  2.0083456   0.16760413  3.2313004
 -0.9178891  -0.4650955   0.53128576  0.5441381  -0.22998041 -0.06575075
  0.08722448  0.33693764 -0.31833822  0.06076773  1.0713776   0.48859772
 -0.13627186 -0.8288474   1.3347515   1.4728634  -1.977542    1.4694262
  1.2372029   1.3095032   1.7195585  -0.59376913  0.6602751   0.37962988
  0.6549491  -0.20635709 -0.03930327 -0.08178109  0.3784688   0.4503199
  1.0696896   0.31515008  0.01178691  0.8212917  -1.1636395   1.1339545
  0.07041062  1.5245767   0.30797833  0.5762633  -1.0376545  -0.10738772
 -0.01312587  0.11489291 -0.09344853  0.19621715  0.0431091  -0.03639983
  0.18125127  0.18658319  0.64911544 -0.04594375 -0.47659028 -0.07738303
  0.24732104 -0.16595541  1.4869372  -0.07964422  0.18488513  0.0659951
 -0.07987811  0.16999611 -0.31640863 -0.11999074 -0.08931556 -0.27770153
 -0.67904985  0.23681524  0.14457317 -0.16332833 -0.42969114 -0.464907
  0.03292899  0.09540055 -0.16151235  0.20773901 -1.0719736   0.04386485
  0.0123495   0.02271347  0.00785255  0.4266687   0.41863483  0.7296474
 -0.15441164 -0.09456749 -0.21309954 -0.02366    -0.27079904 -0.17528473
  0.11140887 -0.1799918   0.42526588  0.5908766  -0.83257735  0.666542
  0.4875104   0.1088227  -0.12937343 -0.17056134 -0.05140842  0.69780135
  0.04594907  0.1262223 ]",2,"{3: 'crossover, 119.0, 111.0', 4: 'crossover, 126.0, 169.0'}"
8,CCN1CC=C2C(C#N)=C(N)C(C#N)(C#N)[C@H](c3cccc(OC)c3OC)[C@H]2C1,0,1,[0],3.45114572325912,"[ 2.74617612e-01  2.36593056e+00 -1.90565050e+00 -1.35225093e+00
 -1.99461371e-01  1.27935493e+00  9.68608975e-01 -6.02838278e-01
  7.36110270e-01  2.44480515e+00 -2.21224833e+00 -1.98953182e-01
  6.17368221e-02 -2.22409582e+00  1.90389216e-01 -4.68837172e-01
  2.64999342e+00 -2.00147986e+00  2.37871909e+00  1.31193385e-01
  2.70887327e+00  2.72829628e+00  3.51071477e-01 -2.24067867e-02
  1.50221854e-01  1.40988278e+00 -2.71888912e-01 -1.89959097e+00
 -2.10751247e+00  1.33430517e+00 -1.22908425e+00  8.65579844e-02
  9.92681742e-01  9.23187435e-01 -2.04272032e+00  4.19555366e-01
  4.96031344e-02  2.25277472e+00  2.68870783e+00  1.89589024e+00
 -2.55332738e-01 -6.62537813e-02 -4.02660036e+00  6.02363050e-02
  3.08725804e-01 -8.63604069e-01 -4.04508471e-01 -9.28172946e-01
  8.12594473e-01 -1.24236274e+00  4.64589596e-01 -2.85638630e-01
  7.85099030e-01  6.63008571e-01  3.17319155e-01  3.82210076e-01
 -8.32599580e-01  1.34607434e+00 -4.54837203e-01  1.74667418e-01
  3.67978621e+00  1.83933794e-01 -2.46210504e+00  1.89486885e+00
  1.12722278e-01  3.35132122e-01  1.15985148e-01  1.43988991e+00
 -5.13670087e-01  2.50862503e+00  2.23668724e-01  1.82139605e-01
  6.50407970e-02 -5.08078516e-01  1.49277055e+00  2.12315768e-01
  7.01583505e-01 -3.10776502e-01 -5.82505167e-02  5.04037619e-01
  1.49547243e+00 -3.08252960e-01  1.66553721e-01 -2.19342381e-01
 -2.20913514e-01  3.68262410e-01  1.16026235e+00  2.04090104e-01
  2.71557748e-01 -1.57890499e-01  7.73886621e-01  1.69497892e-01
  4.63423789e-01  9.57673043e-02 -5.57878256e-01  1.12514585e-01
  2.31027186e-01  6.87084794e-01 -1.06052160e+00  2.04459071e-01
  4.28650379e-01  1.70209348e-01  5.83256781e-02 -1.31542385e-02
 -4.00801376e-02 -1.37193441e-01 -3.24599981e-01  9.84628081e-01
 -1.72207475e-01  5.72349280e-02 -5.18378377e-01  2.17095435e-01
  2.02748865e-01  1.13697922e+00 -1.31514549e-01  8.99312496e-01
 -1.54609889e-01  1.68162608e+00 -8.79436731e-04  8.67400467e-01
  5.71799874e-01 -6.74621165e-01 -2.22013369e-01  3.98599625e-01
 -7.73472637e-02 -8.16457391e-01  1.22825992e+00 -4.52001572e-01]",0,{}
9,O=C(CCSCc1nc2sc3c(c2c(=O)[nH]1)CCCC3)N1CCc2ccccc2C1,0,1,[0],3.328670749157059,"[-1.6024572e+00 -5.5914640e-01 -6.1536789e-01  2.4304600e+00
 -3.7779784e-01  5.7697248e-01  7.5162601e-01  9.5175862e-01
  1.1247101e+00 -2.1968884e+00 -1.2757726e+00 -1.3912483e+00
  6.3172174e-01  1.2524893e+00  6.8940651e-01 -6.7485315e-01
 -2.0142384e-01  8.4705806e-01  8.8383049e-01  8.4183395e-01
  1.7537036e+00 -3.8247728e-01  6.4088988e-01  7.4455029e-01
  1.0926418e+00 -9.1342711e-01  8.3195961e-01 -4.0507028e-01
  1.5990080e+00  1.1005068e+00 -6.3993084e-01 -2.4244390e+00
  3.0330244e-01 -8.4095013e-01 -5.0193816e-01  7.0346320e-01
  1.3348233e+00 -4.7214907e-01 -3.5381982e-01  1.7088029e+00
  1.0184922e+00 -1.2920104e+00 -3.0294037e-01  7.4824029e-01
  3.5212874e-02  8.8372630e-01  2.1728826e+00  2.6026599e+00
  1.4138962e-01 -1.4653981e+00  2.3046091e+00 -2.1708605e+00
  1.8953660e+00 -6.8016626e-02 -1.0395907e-03 -7.3323095e-01
  1.2294362e+00 -2.7734795e-01  6.8336302e-01 -1.3443381e-02
 -3.3584170e+00 -1.2145733e+00 -1.5158948e+00 -1.1184107e+00
 -3.4298903e-01 -1.8927756e-01 -1.5352470e-01  4.7915384e-01
 -7.0385724e-02  5.0602651e-01  4.1615386e-02 -5.8690816e-02
 -1.1433467e-01 -1.2999922e-01 -8.9694142e-02 -6.2170923e-02
  4.8478000e-02  8.4233522e-02 -1.4722012e-02  4.9462342e-01
  1.5240581e+00  1.5478998e-02 -1.3605124e-01  4.4446141e-03
  3.4074581e-01 -1.6011763e-01  1.7982863e-02  1.6800126e-01
  2.9306699e-02  2.3043798e-01  9.9140787e-01  8.6084917e-02
 -4.6758771e-02  1.4000967e-01  1.4207320e-01 -5.2927518e-01
 -7.0045151e-02 -1.9615714e-01  1.0754724e-01  1.4708088e-01
  8.2905608e-01 -1.9703341e-01 -1.6287404e-01  2.2545606e-01
 -3.6080137e-02  3.6743206e-01  5.6144410e-01 -6.0374901e-02
  7.1141407e-02 -3.9891817e-02  3.3951908e-02  1.3672030e-01
  6.5657455e-01  2.1231672e-01 -2.9621586e-02  4.5695674e-01
 -4.1266632e-01  1.3822994e-01 -9.1727370e-01  3.7034687e-01
  1.7777681e-03 -2.4756254e-01 -4.1252390e-02  1.1428735e-01
  8.6487338e-02 -7.1582496e-03  3.2020620e-01 -4.0190872e-02]",0,{}
